"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04202341","Registry of Participants With Generalized Myasthenia Gravis Treated With C5 Inhibition Therapies",,"Recruiting","No Results Available","Generalized Myasthenia Gravis",,"Collect Real-world Effectiveness Data In Participants Using Alexion C5IT Therapy|Collect Real-world Data On Other Outcomes Of Interest In Alexion C5IT-treated Participants","Alexion Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)",,"500","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","ALXN-MG-501","December 11, 2019","November 2024","November 2024","December 17, 2019",,"December 17, 2020","Clinical Trial Site, Phoenix, Arizona, United States|Clinical Trial Site, Fresno, California, United States|Clinical Trial Site, Rancho Mirage, California, United States|Clinical Trial Site, Clearwater, Florida, United States|Clinical Trial Site, Augusta, Georgia, United States|Clinical Trial Site, Lake Barrington, Illinois, United States|Clinical Trial Site, Las Vegas, Nevada, United States|Clinical Trial Site, Durham, North Carolina, United States|Clinical Trial Site, Houston, Texas, United States|Clinical Trial Site, Burlington, Vermont, United States",,"https://ClinicalTrials.gov/show/NCT04202341"
2,"NCT04463056","Efficacy and Safety of Elizaria® vs. Soliris® in Patients With PNH",,"Completed","No Results Available","Paroxysmal Nocturnal Hemoglobinuria|Marchiafava-Micheli Syndrome|Paroxysmal Hemoglobinuria","Biological: Elizaria®|Biological: Soliris®","Area under the LDH concentration-time curve (LDH AUC) during the maintenance therapy with the test drug or the reference drug|Area under the LDH concentration-time curve (LDH AUC) during 26-week therapy with the test product or the reference product|Hemoglobin level change during the maintenance therapy with the test drug or the reference drug|Number/proportion of the patients with stable hemoglobin level during the maintenance therapy with the test drug or the reference drug|Number/proportion of patients with various thrombotic complications developing during treatment with the test product or the reference product.|Number/proportion of patients who needed donor red blood cell transfusions during treatment with the test product or the reference product.|Number of donor red blood cell transfusions during treatment with the test product or the reference product.|Number/proportion of patients with breakthrough hemolysis","AO GENERIUM","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","32","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ECU-PNH-III|#546 eff date 17.10.2017","November 29, 2017","October 16, 2018","October 16, 2018","July 9, 2020",,"September 1, 2021","Federal State Budget Funded Institution National Medical Research Center of Hematology, Ministry of Health of the Russian Federation (MoH of Russia), Moscow, Russian Federation|Moscow State Budget Funded Healthcare Institution S. P. Botkin City Clinical Hospital, Moscow Department of Healthcare, Moscow, Russian Federation|State Budget Funded Institution of Higher Education Academician I. P. Pavlov Saint-Petersburg State Medical University of the Ministry of Health of the Russian Federation, Saint Petersburg, Russian Federation|State Budgetary Educational Institution of Higher Professional Education Samara State Medical University, Ministry of Health of the Russian Federation., Samara, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04463056"
3,"NCT01374360","Paroxysmal Nocturnal Hemoglobinuria (PNH) Registry",,"Recruiting","No Results Available","Paroxysmal Nocturnal Hemoglobinuria",,"Evaluate safety data specific to the use of Soliris and Ultomiris|Collect data to characterize the progression of PNH as well as clinical outcomes, mortality and morbidity in Soliris or Ultomiris and non-Soliris or non- Ultomiris treated patients","Alexion Pharmaceuticals","All","Child, Adult, Older Adult",,"5000","Industry","Observational","Observational Model: Other|Time Perspective: Prospective","M07-001","January 2007","December 2025","December 2025","June 16, 2011",,"December 15, 2021","Contact the PNH Registry at Alexion Pharmaceuticals, Inc. for worldwide locations., Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01374360"
4,"NCT05047523","Study of ALXN1840 Versus Standard of Care in Pediatric Participants With Wilson Disease",,"Recruiting","No Results Available","Wilson Disease","Drug: ALXN1840|Drug: Standard of Care","Percentage Change From Baseline To Week 48 In Non-ceruloplasmin-bound Copper (NCC) In Plasma|Area Under The Effect Versus Time Curve (AUEC) For NCC And Plasma Total Copper|Observed Change From Baseline To Week 48 Of Ceruloplasmin-bound Copper And Ceruloplasmin|NCC Responder Rate|Change From Baseline To Week 48 In The UWDRS Part II Total Score|Change From Baseline To Week 48 In The UWDRS Part III Total Score|PK: Maximum Observed Concentration (Cmax) Of ALXN1840 For Plasma Total Molybdenum And Plasma Ultrafiltrate Molybdenum Concentrations|PK: Time To Maximum Concentration (Tmax) Of ALXN1840 For Plasma Total Molybdenum And Plasma Ultrafiltrate Molybdenum Concentrations|PK: Area Under The Plasma Concentration Versus Time Curve From Time 0 To The End Of The Dosing Interval (AUCtau) Of ALXN1840 For Plasma Total Molybdenum And Plasma Ultrafiltrate Molybdenum Concentrations|Clinical Global Impression-improvement (CGI-I), As Assessed By The Investigator|Change From Baseline To Week 48 In Clinical Global Impression-severity (CGI-S), As Assessed By The Investigator|Change From Baseline To Week 48 In Model For End-stage Liver Disease (MELD) Score (Ages 12 Years And Older) Or Pediatric End-stage Liver Disease (PELD) Score (Ages 3 To < 12 Years)|Change From Baseline To Week 48 In Modified Nazer Score","Alexion Pharmaceuticals","All","3 Years to 17 Years   (Child)","Phase 3","48","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","ALXN1840-WD-302|2021-001015-82","October 6, 2021","October 31, 2023","May 31, 2024","September 17, 2021",,"March 2, 2022","Clinical Trial Site, Parkville, Australia|Clinical Trial Site, South Brisbane, Australia|Clinical Trial Site, Chiba, Japan|Clinical Trial Site, Kumamoto, Japan|Clinical Trial Site, Kurume, Japan|Clinical Trial Site, Meguro-Ku, Japan|Clinical Trial Site, Sapporo, Japan|Clinical Trial Site3, Seoul, Korea, Republic of|Clinical Trial Site, Seoul, Korea, Republic of|Clinical Trial Site 2, Seoul, Korea, Republic of|Clinical Trial Site, Warsaw, Poland|Clinical Trial Site, Barcelona, Spain|Clinical Trial Site, Barcelona, Spain|Clinical Trial Site, Las Palmas de Gran Canaria, Spain|Clinical Trial Site, Madrid, Spain|Clinical Trial Site, Pamplona, Spain",,"https://ClinicalTrials.gov/show/NCT05047523"
5,"NCT02763215","The Assessment of Copper Parameters in Wilson Disease Participants on Standard of Care Treatment",,"Completed","Has Results","Wilson Disease","Drug: Standard of Care Medications","Percentage Of Participants Who Achieved Or Maintained Normalized Concentrations Of Non-ceruloplasmin-bound Copper (NCC) Or Reached A Reduction Of ≥ 25% In NCC During 6 Months Of Treatment|Percentage Of Participants Who Achieved Or Maintained Normalized Concentrations Of NCC Or Reached A Reduction Of ≥ 25% In NCC Through Last Assessment|Change From Baseline In NCC Concentrations At Month 6, Month 24, And Last Assessment|Time To Normalization Of NCC If Above The Reference Range At The Time Of Enrollment|Change From Baseline In Exchangeable Copper At Month 6, Month 24, And Last Assessment|Change From Baseline In Copper Plasma Ultrafiltrate At Month 6, Month 24, And Last Assessment|Change From Baseline In Plasma Total Copper Used To Calculate NCC At Month 6, Month 24, And Last Assessment|Change From Baseline In Serum Total Ceruloplasmin (Nephelometry) Used To Calculate NCC At Month 6, Month 24, And Last Assessment|Change From Baseline In 24-Hour Urinary Copper At Month 6, Month 24, And Last Assessment|Change From Baseline In Plasma Total Molybdenum At Month 6 And Month 24|Change From Baseline In Molybdenum Plasma Ultrafiltrate At Month 6 And Month 24|Change From Baseline In 24-Hour Urinary Molybdenum At Month 6 And Month 24|Change From Baseline In Hepatic Laboratory Measures For Alanine Aminotransferase (ALT) At Month 6, Month 24, And Last Assessment|Change From Baseline In Hepatic Laboratory Measures For Aspartate Aminotransferase (AST) At Month 6, Month 24, And Last Assessment|Change From Baseline In Hepatic Laboratory Measures For Bilirubin At Month 6, Month 24, And Last Assessment|Change From Baseline In Hepatic Laboratory Measures For International Normalized Ratio (INR) At Month 6, Month 24, And Last Assessment|Change From Baseline In Clinical Global Impression (CGI) Scale Item 1 (Severity Of Illness) At Month 6, Month 24, And Last Assessment|CGI Scale Item 2 (Global Improvement) At Month 6, Month 24, And Last Assessment","Alexion Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)",,"64","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","WTX101-203","May 19, 2016","January 21, 2019","January 21, 2019","May 5, 2016","October 26, 2020","December 1, 2020","Clinical Trial Site, New Haven, Connecticut, United States|Clinical Trial Site, Chicago, Illinois, United States|Clinical Trial Site, Ann Arbor, Michigan, United States|Clinical Trial Site, Nashville, Tennessee, United States|Clinical Trial Site, Seattle, Washington, United States|Clinical Trial Site, Vienna, Austria|Clinical Trial Site, Heidelberg, Germany|Clinical Trial Site, Warszawa, Poland|Clinical Trial Site, Birmingham, United Kingdom|Clinical Trial Site, Guildford, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/15/NCT02763215/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/15/NCT02763215/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02763215"
6,"NCT02598583","Dose-Escalation Study of ALXN1210 IV in Participants With Paroxysmal Nocturnal Hemoglobinuria (PNH)",,"Active, not recruiting","Has Results","PNH","Biological: ALXN1210","Percent Change In Lactate Dehydrogenase (LDH) Levels From Baseline To Day 169|Percent Change In Free Hemoglobin Levels From Baseline To Day 169|Percent Change In Haptoglobin Levels From Baseline To Day 169|Percent Change In Reticulocyte/Erythrocyte Count From Baseline To Day 169|Percent Change In Paroxysmal Nocturnal Hemoglobinuria (PNH) Red Blood Cell (RBC) Clones From Baseline To Day 169|Percent Change In D-dimer Levels From Baseline To Day 169|Change In Clinical Manifestations Of PNH From Baseline To Day 169","Alexion Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","13","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ALXN1210-PNH-103","November 2015","July 2016","June 2021","November 6, 2015","January 30, 2018","August 7, 2020","Clinical Trial Site, Liverpool, New South Wales, Australia|Clinical Trial Site, Woolloongabba, Queensland, Australia|Clinical Trial Site, Ulsan, Gyeonggi-do, Korea, Republic of|Clinical Trial Site, Daejeon, Korea, Republic of|Clinical Trial Site, Seoul, Korea, Republic of|Clinical Trial Site, Seoul, Korea, Republic of|Clinical Trial Site, Seoul, Korea, Republic of|Clinical Trial Site, Seoul, Korea, Republic of|Clinical Trial Site, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02598583"
7,"NCT00485576","Safety and Efficacy Study of Eculizumab in Patients With Mild Allergic Asthma",,"Completed","No Results Available","Allergic Asthma","Drug: eculizumab","Allergen-induced late asthmatic response as measured by the AUC of FEV1 from 3 to 7 hours post-allergen challenge|At 24 hours post-allergen challenge; treatment comparison of allergen-induced changes from baseline in sputum eosinophils and metachromatic cells|Allergen-induced airway responsiveness 24 hours post-allergen challenge as primary interest; 72 hour assessment timepoint will be supportive|Maximum % decrease in FEV1 from 3 to 7 hours post-allergen challenge|% decrease of FEV1 at 24 hours post-allergen challenge|AUC and maximum % fall of FEV1 from 0-3 hours post-allergen challenge","Alexion Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 2","21","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","C07-002","September 2007","September 2008","November 2008","June 13, 2007",,"January 15, 2009","McMaster University, Hamilton, Ontario, Canada|Hospital Laval, Ste-Foy, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT00485576"
8,"NCT04752566","A Study to Evaluate the Efficacy and Safety of Eculizumab in Guillain-Barré Syndrome",,"Recruiting","No Results Available","Guillain-Barre Syndrome","Biological: Eculizumab|Drug: Placebo","Time To First Reaching A Hughes FG Score ≤ 1|Proportion Of Participants With A Hughes FG Score ≤ 1|Proportion Of Participants With A Hughes FG Score Improvement Of ≥ 3|Incidence Of Treatment-emergent Adverse Events|Free Complement Component 5 In Serum|Hemolytic Complement Activity In Serum|Length Of Stay In The Hospital|Duration Of Ventilator Support|Concentration Of Eculizumab In Serum|Incidence Of Antidrug Antibodies","Alexion Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 3","57","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","ECU-GBS-301","March 8, 2021","October 31, 2022","October 31, 2022","February 12, 2021",,"February 18, 2022","Clinical Trial Site, Bunkyo-ku, Japan|Clinical Trial Site, Chiba, Japan|Clinical Trial Site, Fuchu, Japan|Clinical Trial Site, Fukuoka, Japan|Clinical Trial Site, Gifu, Japan|Clinical Trial Site, Hiroshima, Japan|Clinical Trial Site, Kagoshima, Japan|Clinical Trial Site, Kawagoe, Japan|Clinical Trial Site, Kawasaki, Japan|Clinical Trial Site, Kitakyushu, Japan|Clinical Trial Site, Kobe, Japan|Clinical Trial Site, Kumamoto, Japan|Clinical Trial Site, Kurashiki, Japan|Clinical Trial Site, Kyoto, Japan|Clinical Trial Site, Matsumoto, Japan|Clinical Trial Site, Mibu, Japan|Clinical Trial Site, Mitaka, Japan|Clinical Trial Site, Nagoya, Japan|Clinical Trial Site, Niigata, Japan|Clinical Trial Site, Nishinomiya, Japan|Clinical Trial Site, Osakasayama, Japan|Clinical Trial Site, Sagamihara, Japan|Clinical Trial Site, Sapporo, Japan|Clinical Trial Site, Sendai, Japan|Clinical Trial Site, Ube, Japan|Clinical Trial Site, Yokohama, Japan",,"https://ClinicalTrials.gov/show/NCT04752566"
9,"NCT01633489","Lysosomal Acid Lipase (LAL) Deficiency Registry","ALX-LALD-501","Recruiting","No Results Available","Lysosomal Acid Lipase Deficiency|Cholesterol Ester Storage Disease|Wolman Disease|Acid Cholesteryl Ester Hydrolase Deficiency, Type 2|Acid Lipase Deficiency|LIPA Deficiency|LAL-Deficiency",,"Understanding of the variability, progression, identification and natural history of LAL Deficiency.","Alexion Pharmaceuticals","All","Child, Adult, Older Adult",,"1000","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","ALX-LALD-501","December 2012","June 2029","June 2029","July 4, 2012",,"January 12, 2021","Stanford, California, United States|Decatur, Georgia, United States|Chicago, Illinois, United States|Boston, Massachusetts, United States|Detroit, Michigan, United States|Bronx, New York, United States|New York, New York, United States|Providence, Rhode Island, United States|Houston, Texas, United States|Fairfax, Virginia, United States|Bron, France|Nancy, France|Berlin, Germany|Mainz, Germany|Genova, Italy|Milano, Italy|Turin, Italy|Amsterdam, Netherlands|Albacete, Spain|Oviedo, Spain|Valladolid, Spain|Zaragoza, Spain|Zürich, Switzerland|Birmingham, United Kingdom|Cambridge, United Kingdom|London, United Kingdom|Manchester, United Kingdom|Salford, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01633489"
10,"NCT01770951","A Retrospective, Observational, Non-interventional Trial to Assess Eculizumab Treatment Effect in Patients With Atypical Hemolytic Uremic Syndrome (aHUS)",,"Completed","No Results Available","Atypical Hemolytic Uremic Syndrome (aHUS)",,"Overall safety and tolerability of eculizumab based on Adverse Events of Special Interest/Adverse Drug Reactions and Additional Adverse Events.|Assess eculizumab treatment affect based on change in laboratory parameters (platelets, hemoglobin, LDH and parameters associated with renal function and intravascular hemolysis) and reduction of thrombotic microangiopathy (TMA).","Alexion Pharmaceuticals","All","Child, Adult, Older Adult",,"30","Industry","Observational","Time Perspective: Retrospective","C09-001r","August 2009","November 2010","November 2010","January 18, 2013",,"January 18, 2013","Dunwoody, Georgia, United States|Chicago, Illinois, United States|Portland, Maine, United States|Boston, Massachusetts, United States|Durham, North Carolina, United States|Cincinnati, Ohio, United States|Oklahoma City, Oklahoma, United States|Corpus Christi, Texas, United States|Salt Lake City, Utah, United States|Seattle, Washington, United States|Spokane, Washington, United States|Appleton, Wisconsin, United States|Graz, Austria|Innsbruck, Austria|Montreal, Quebec, Canada|Caen, France|Le Kremlin Bicetre, France|Paris, France|Berlin, Germany|Heidelberg, Germany|Amsterdam, Netherlands|Barcelona, Spain|Bern, Switzerland",,"https://ClinicalTrials.gov/show/NCT01770951"
