"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT01468558","Pharmacokinetics & Tolerability Study of MAP0004 Co-administered With Ketoconazole",,"Completed","Has Results","Healthy","Drug: MAP0004|Drug: IV DHE|Drug: Ketoconazole","Cmax of Dihydroergotamine After MAP0004, MAP0004 Co-administered With Ketoconazole, and IV DHE Administration|AUC(0-48) of Dihydroergotamine After MAP0004, MAP0004 Co-administered With Ketoconazole, and IV DHE Administration","Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan","All","18 Years to 45 Years   (Adult)","Phase 1","24","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MAP0004-CL-P104","July 2010","August 2010","August 2010","November 9, 2011","October 22, 2013","January 9, 2014","Simbec Research Limited, Merthyr Tydfil, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01468558"
2,"NCT01199965","Pharmacokinetics & Tolerability Study of MAP0004 in Smoking and Non-Smoking Adult Volunteers",,"Completed","Has Results","Healthy Subjects","Drug: MAP0004|Drug: IV DHE","Cmax of Dihydroergotamine After MAP0004 and IV DHE Administration in Smokers Versus Non-smokers|AUC(0-48) of Dihydroergotamine After MAP0004 and IV DHE Administration in Smokers and Non-smokers","Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan","All","18 Years to 45 Years   (Adult)","Phase 1|Phase 2","47","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MAP0004-CL-P203","January 2010","April 2010","April 2010","September 13, 2010","October 22, 2013","January 9, 2014","Simbec Research Limited, Merthyr Tydfil, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01199965"
3,"NCT01191723","QT Intervals Study to Compare the Acute Effects of Orally Inhaled Dihydroergotamine (DHE), Oral Moxifloxacin, and Placebo",,"Completed","Has Results","Healthy","Drug: MAP0004|Drug: Inhaler Placebo|Drug: Moxifloxacin|Drug: Placebo Capsule","Change From Baseline in QTcI for MAP0004 3.0mg and Placebo at 30 Minutes|Change From Baseline in QTcI for MAP0004 3.0mg, Placebo, and Moxifloxacin at 2 Hours|Change From Baseline in QTcF for MAP0004 3.0mg and Placebo at 30 Minutes|Change From Baseline in QTcF for MAP0004 3.0mg, Placebo, and Moxifloxacin at 2 Hours|Change From Baseline in Heart Rate for MAP0004 3.0mg, Placebo, and Moxifloxacin at 30 Minutes and 2 Hours","Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan","All","18 Years to 45 Years   (Adult)","Phase 1","54","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","MAP0004-CL-P103","August 2010","September 2010","September 2010","August 31, 2010","October 22, 2013","January 9, 2014","Cetero Research, Fargo, North Dakota, United States",,"https://ClinicalTrials.gov/show/NCT01191723"
4,"NCT01089062","Pharmacodynamic Study to Compare Acute Effects of Dihydroergotamine Mesylate (DHE) on Pulmonary Arterial Pressure",,"Completed","Has Results","Healthy","Drug: MAP0004|Drug: IV Placebo (Saline)|Drug: Placebo Inhaler|Drug: IV Dihydroergotamine Mesylate (DHE)","AUC(0-2hrs) of Pulmonary Arterial Systolic Pressure (PASP) Over Time Post 1st Dose|Percent of Subjects With an Increase in PASP Greater Than 10mmHg From Baseline to 2 Hours From the First Dose|Maximum Change in PASP From Baseline to the Two Hour Period Following the First Dose|AUC(0-4hrs) of Pulmonary Arterial Systolic Pressure (PASP) From the Start of the First Dose to Two Hours After the Second Dose|Change in Blood Pressure From Baseline After the Two 2-hour Post Dosing Periods|Change From Baseline in QTc Interval at 14 Minutes After the 1st and 2nd Dose","Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan","All","18 Years to 45 Years   (Adult)","Phase 1","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","MAP0004-CL-P102","March 2010","September 2010","December 2010","March 18, 2010","October 22, 2013","January 9, 2014","Duke Clinical Research Unit, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT01089062"
5,"NCT00995904","Tolerability and PK of Submicron Budesonide in Children 4 to 11 Years Old With Mild-To-Moderate Stable Asthma",,"Completed","Has Results","Asthma","Drug: 84ug MAP0020|Drug: 42ug MAP0020|Drug: 21ug MAP0020","Cmax of Budesonide After Administration of MAP0020|AUC(0-inf) of Budesonide After Administration of MAP0020|Half-life (t1/2) of Budesonide After Administration of MAP0020","Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan","All","4 Years to 11 Years   (Child)","Phase 2","25","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MAP0020-CL-P201","September 2009","November 2009","November 2009","October 15, 2009","November 20, 2013","January 9, 2014","West Coast Clinical Trials LLC, Cypress, California, United States|Sylvana Research Associates, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00995904"
6,"NCT00697801","Study of MAP0010 in Asthmatic Children and Adolescents",,"Completed","Has Results","Asthma","Drug: MAP0010 low dose|Drug: MAP0010 high dose|Drug: Placebo","Change From Baseline in Daytime Composite Symptom Score|Change From Baseline in Nighttime Composite Symptom Score|Change From Baseline in FEV1% Predicted","Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan","All","1 Year to 18 Years   (Child, Adult)","Phase 2","208","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","MAP0010-CL-P201","July 2006","December 2006","December 2006","June 16, 2008","October 23, 2013","January 9, 2014","San Diego, California, United States",,"https://ClinicalTrials.gov/show/NCT00697801"
7,"NCT00697697","A Study of 2 Doses of MAP0010 in Asthmatic Children",,"Terminated","Has Results","Asthma","Drug: 0.135mg MAP0010|Drug: 0.25mg MAP0010","Number of Patients With Treatment Emergent Adverse Events Related to Study Drug|Number of Patients Reporting at Least One Treatment Emergent Adverse Event Leading to Study Termination","Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan","All","12 Months to 8 Years   (Child)","Phase 3","192","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","MAP0010-CL-P301X","April 2008","August 2009","December 2009","June 16, 2008","October 23, 2013","January 9, 2014",,,"https://ClinicalTrials.gov/show/NCT00697697"
8,"NCT00623636","Phase 3 Study of MAP0004 in Adult Migraineurs","FREEDOM301","Completed","Has Results","Migraine Disorders","Drug: MAP0004|Drug: Placebo","Number of Subjects With Pain Relief at 2 Hours From Time of First Dose|Number of Subjects Photophobia Free at 2 Hours From Time of First Dose|Number of Subjects Phonophobia Free at 2 Hours From Time of First Dose|Number of Subjects Nausea Free at 2 Hours From Time of First Dose|Number of Subjects With Sustained Pain Relief From 2 to 24 Hours|Number of Subjects Whose Time to Pain Relief Occurred Within 2 Hours|Number of Subjects With Pain Relief at 4 Hours|Number of Subjects With Pain Relief at 10 Minutes","Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 3","902","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","MAP0004 CL P301","July 2008","December 2010","January 2011","February 26, 2008","October 29, 2013","January 9, 2014","Swedish Pain and Headache Clinic, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT00623636"
9,"NCT00569192","A Study of 2 Doses of MAP0010 and Placebo in Asthmatic Children",,"Completed","Has Results","Asthma","Drug: 0.135mg MAP0010|Drug: 0.25mg MAP0010|Drug: Placebo","Change From Baseline in Daytime Composite Symptom Score|Change From Baseline in Nighttime Composite Symptom Score|Change From Baseline in FEV1% Predicted|Change From Baseline in PEF|Change From Baseline in Daytime Individual Symptom Scores|Change From Baseline in Nighttime Individual Symptom Scores","Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan","All","12 Months to 8 Years   (Child)","Phase 3","360","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","MAP0010-CL-P301","December 2007","September 2008","January 2009","December 7, 2007","October 23, 2013","January 9, 2014",,,"https://ClinicalTrials.gov/show/NCT00569192"
10,"NCT00554970","A Study of 2 Doses of MAP0010 in Adult Asthmatics","P202","Completed","Has Results","Asthma","Drug: MAP0010 low dose|Drug: MAP0010 high dose|Drug: Budesonide inhalation suspension 0.25mg|Drug: Budesonide inhalation suspension 0.5mg","Cmax of Budesonide on Day 1 After Administration of MAP0010 Low Dose, MAP0010 High Dose, Pulmicort Respules® 0.25mg, and Pulmicort Respules® 0.5mg|Cmax of Budesonide on Day 8 After Administration of MAP0010 Low Dose, MAP0010 High Dose, Pulmicort Respules® 0.25mg, and Pulmicort Respules® 0.5mg|AUC(0-inf) of Budesonide on Day 1 After Administration of MAP0010 Low Dose, MAP0010 High Dose, Pulmicort Respules® 0.25mg, and Pulmicort Respules® 0.5mg|AUC(0-inf) of Budesonide on Day 8 After Administration of MAP0010 Low Dose, MAP0010 High Dose, Pulmicort Respules® 0.25mg, and Pulmicort Respules® 0.5mg|Half-life (t1/2) of Budesonide on Day 1 After Administration of MAP0010 Low Dose, MAP0010 High Dose, Pulmicort Respules® 0.25mg, and Pulmicort Respules® 0.5mg|Half-life (t1/2) of Budesonide on Day 8 After Administration of MAP0010 Low Dose, MAP0010 High Dose, Pulmicort Respules® 0.25mg, and Pulmicort Respules® 0.5mg","Allergan|MAP Pharmaceuticals, Inc., a wholly owned subsidiary of Allergan","All","18 Years to 45 Years   (Adult)","Phase 2","32","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MAP0010-CL-P202","November 2007","January 2008","March 2008","November 7, 2007","October 23, 2013","January 9, 2014","West Coast Clinical Trials Phase 2-4, LLC, Long Beach, California, United States",,"https://ClinicalTrials.gov/show/NCT00554970"
