"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02412306","Study of Blinatumomab in Japanese Patients With Relapsed/Refractory B-precursor Acute Lymphoblastic Leukemia",,"Completed","Has Results","Relapsed Refractory B Precursor Acute Lymphoblastic Leukemia","Drug: Blinatumomab","Phase 1b: Number of Participants With Dose-limiting Toxicities|Phase 2: Percentage of Participants With a Best Response of Complete Remission or Complete Remission With Only Partial Hematological Recovery Within 2 Cycles of Treatment|Expansion Cohort: Number of Participants With Treatment-Emergent Adverse Events (TEAEs) and Treatment-Related TEAEs|Phase 1b Adults: Percentage of Participants With a Best Response of Complete Remission or Complete Remission With Only Partial Hematological Recovery Within 2 Cycles of Treatment|Phase 1b Pediatric: Percentage of Participants With M1 Remission Within 2 Cycles of Treatment|Phase 1b and Phase 2: Duration of Response|Phase 1b and Phase 2: Relapse-free Survival|Phase 1b and Phase 2: Overall Survival|Phase 2: Best Overall Response Within 2 Cycles of Treatment|Phase 2: Percentage of Participants Who Received an Allogeneic Hematopoietic Stem Cell Transplant (HSCT) During Blinatumomab Induced Remission|Phase 2: 100-Day Mortality After Allogeneic HSCT|Phase 1b and Phase 2: Number of Participants With TEAEs|Phase 1b and Phase 2: Serum Blinatumomab Concentration at Steady State|Phase 1b and Phase 2: Systemic Clearance of Blinatumomab|Phase 1b and Phase 2: Terminal Half-life of Blinatumomab|Phase 1b and Phase 2: Volume of Distribution of Blinatumomab|Phase 1b and Phase 2: Number of Participants Who Developed Anti-Blinatumomab Antibodies|Phase 1b and Phase 2: Interleukin-2 Concentration|Phase 1b and Phase 2: Interleukin-6 Concentration|Phase 1b and Phase 2: Interleukin-10 Concentration|Phase 1b and Phase 2: Tumor Necrosis Factor-Alpha (TNFα) Concentration|Phase 1b and Phase 2: Interferon Gamma (IFN-γ) Concentration|Expansion Cohort Adult: Percentage of Participants With a Best Response of Complete Remission or Complete Remission With Only Partial Hematological Recovery Within 2 Cycles of Treatment|Expansion Cohort Pediatric: Percentage of Participants With M1 Remission Within 2 Cycles of Treatment","Amgen|Amgen Astellas Biopharma K.K.","All","Child, Adult, Older Adult","Phase 1|Phase 2","66","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20130265","June 4, 2015","February 6, 2019","July 4, 2019","April 9, 2015","January 10, 2020","January 10, 2020","Research Site, Nagoya-shi, Aichi, Japan|Research Site, Nagoya-shi, Aichi, Japan|Research Site, Fukuoka-shi, Fukuoka, Japan|Gunmaken Saiseikai Maebashi Hospital, Maebashi-shi, Gunma, Japan|Research Site, Maebashi-shi, Gunma, Japan|Research Site, Sapporo-shi, Hokkaido, Japan|Research Site, Kobe-shi, Hyogo, Japan|Research Site, Yokohama-shi, Kanagawa, Japan|Research Site, Nagasaki-shi, Nagasaki, Japan|Research Site, Niigata-shi, Niigata, Japan|Research Site, Okayama-shi, Okayama, Japan|Research Site, Osaka-shi, Osaka, Japan|Research Site, Osaka-shi, Osaka, Japan|Research Site, Saitama-shi, Saitama, Japan|Research Site, Shimotsuke-shi, Tochigi, Japan|Research Site, Chuo-ku, Tokyo, Japan|Research Site, Setagaya-ku, Tokyo, Japan","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/06/NCT02412306/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/06/NCT02412306/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02412306"
2,"NCT01652690","Prospective Observational Study to Describe Characteristics and Management of Patients Treated With Denosumab (Prolia®) in Routine Clinical Practice",,"Completed","Has Results","Osteoporosis, Postmenopausal","Biological: Denosumab","Number of Participants Receiving All Prescriptions and Injections of Denosumab From the Initial Prescribing Physician's Office|Number of Participants Receiving an Individual Prescription and Injection of Denosumab From the Initial Prescribing Physician Office by Each Individual Injection|Number of Participants Receiving All Prescriptions and Injections of Denosumab|Number of Participants With a Referral by the Prescribing Physician to Other Health Care Providers for Continuation or Follow-up of Care|Types of Health Care Providers Administering an Individual Injection of Denosumab at the Baseline Injection|Types of Health Care Providers Administering Denosumab at the First Post-baseline Injection|Types of Health Care Providers Administering Denosumab at the Second Post-baseline Injection|Types of Health Care Providers Administering Denosumab at the Third Post-baseline Injection|Types of Health Care Providers Administering Denosumab at the Fourth Post-baseline Injection|Number of Denosumab Post-baseline Injections Received by Each Participant|Number of Participants Having Radiologic Bone Assessments|Number of Participants Having Osteoporosis Related Laboratory Examinations|Number of Participants With Adverse Drug Reactions (ADRs) to Denosumab|Number of Participants With Serious ADRs to Denosumab","Amgen|One Amgen Center Drive|THOUSAND OAKS|CA|91320-1799|USA","Female","Child, Adult, Older Adult",,"600","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20110132","June 26, 2012","May 15, 2015","May 15, 2015","July 30, 2012","May 26, 2016","March 6, 2019","Research Site, Brno, Czechia|Research Site, Brno, Czechia|Research Site, Ceske Budejovice, Czechia|Research Site, Havlickuv Brod, Czechia|Research Site, Karlovy Vary, Czechia|Research Site, Kutna Hora, Czechia|Research Site, Ostrava-Trebovice, Czechia|Research Site, Ostrava, Czechia|Research Site, Plzen, Czechia|Research Site, Praha 11, Czechia|Research Site, Praha 2, Czechia|Research Site, Praha 4 - Nusle, Czechia|Research Site, Trutnov, Czechia|Research Site, Vsetin, Czechia|Research Site, Zlin, Czechia|Osteocentrum Zlin, Zlin, Czechia|Research Site, Banska Bystrica, Slovakia|Research Site, Bratislava, Slovakia|Research Site, Bratislava, Slovakia|Research Site, Humenne, Slovakia|Research Site, Kosice-Saca, Slovakia|Research Site, Kosice, Slovakia|Research Site, Lubochna, Slovakia|Research Site, Lucenec, Slovakia|Research Site, Martin, Slovakia|Research Site, Nitra, Slovakia|Research Site, Presov, Slovakia|Research Site, Trnava, Slovakia|Research Site, Zilina, Slovakia",,"https://ClinicalTrials.gov/show/NCT01652690"
3,"NCT04221542","Study of AMG 509 in Subjects With Metastatic Castration-Resistant Prostate Cancer",,"Not yet recruiting","No Results Available","Prostate Cancer","Drug: AMG 509|Drug: Dexamethasone","Incidence of treatment-emergent adverse events|Incidence of treatment-related adverse events|Dose limiting toxicities (DLTs)|Number of participants with changes in vital signs|Number of participants with changes in the electrocardiogram (ECG) records.|Number of participants with changes in the clinical laboratory tests results.|Maximum serum concentration (Cmax) for AMG 509|Minimum serum concentration (Cmin) for AMG 509|Area under the concentration-time curve (AUC) over the dosing interval for AMG 509|Accumulation following multiple dosing for AMG 509|Objective response (OR) per Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 with Prostate Cancer Working Group 3 (PCWG3) modifications|Prostate specific antigen (PSA) response|Duration of response (DOR) (radiographic and PSA)|Time to progression (radiographic and PSA)|Progression-free survival (PFS) (radiographic and PSA)|1, 2, and 3-year overall survival (OS)|Circulating tumor cells response (CTC0)|Rate of circulating tumor cells CTC conversion|time to symptomatic skeletal events.|alkaline phosphatase (total, bone)|lactate dehydrogenase (LDH)|hemoglobin|urine N-telopeptide|neutrophil-tolymphocyteratio","Amgen","Male","18 Years and older   (Adult, Older Adult)","Phase 1","70","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20180146","January 10, 2020","December 9, 2022","December 9, 2022","January 9, 2020",,"January 9, 2020",,,"https://ClinicalTrials.gov/show/NCT04221542"
4,"NCT04199351","Single and Multiple Ascending Dose Study of AMG 171 in Subjects With Obesity",,"Recruiting","No Results Available","Obesity","Drug: AMG 171|Drug: Placebo","Subject incidence of treatment-emergent adverse events.|Pharmacokinetic parameter - maximum plasma concentration (Cmax)|Pharmacokinetic parameter - time to maximum plasma concentration (Tmax)|Pharmacokinetic parameter - area under the plasma concentration-time curve (AUC)|Incidence of anti-AMG 171 antibody formation","Amgen","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","140","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","20180224","December 13, 2019","September 7, 2022","September 7, 2022","December 13, 2019",,"December 24, 2019","Research Site, Anaheim, California, United States|Research Site, Tustin, California, United States",,"https://ClinicalTrials.gov/show/NCT04199351"
5,"NCT04197453","The Cardiovascular Multi-dimensional Observational Investigation of the Use of PCSK9 Inhibitors (cvMOBIUS)","cvMOBIUS","Recruiting","No Results Available","ASCVD",,"Incident event rate for the composite of all-cause mortality, non-fatal myocardial infarction (MI), and non-fatal ischemic stroke (IS).|Incident event rate for all-cause mortality|Incident event rate for non-fatal MI|Incident event rate for non-fatal IS|Incident event rate for coronary or peripheral revascularization|Incident event rate for major adverse limb events (MALE) including amputation|Incident event rate for cardiovascular death|Incident event rate for coronary heart disease (CHD) death|Incident event rate for transient ischemic attack (TIA)|Incident event rate for unstable angina (UA)|Longitudinal patterns of lipid control, use of and persistence with lipid lowering therapies (LLT) including statins, ezetimibe, and PCSK9 inhibitors|The strengths and limitations of data harvested directly from electronic health record (EHR) systems as compared with prospectively collected information","Amgen|Duke Clinical Research Institute","All","40 Years to 99 Years   (Adult, Older Adult)",,"8500","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20180059","December 6, 2019","December 18, 2025","December 18, 2025","December 13, 2019",,"January 18, 2020","Research Site, Lake Success, New York, United States|Research Site, McKinney, Texas, United States|Research Site, Cambridge, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04197453"
6,"NCT04191616","Study of Early Relapsed, Lenalidomide-refractory Subjects Eligible for Carfilzomib Triplet","SELECT","Not yet recruiting","No Results Available","Relapsed or Refractory Multiple Myeloma","Drug: Carfilzomib|Drug: Dexamethasone|Drug: Pomalidomide","Number of participants with best minimal residual disease (MRD)|Subject incidence of treatment-emergent adverse event|Number of participants with negative minimal residual disease negative (MRD[-])|Number of participants with Sustained negative MRD|Number of participants with sustained negative MRD|Overall response rate (ORR)|Overall response rate at 12 month landmark|Duration of response|Time to response|Progression-free survival (PFS)|Overall survival (OS)|Best overall confirmed response of complete response (CR) or better","Amgen","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","85","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20180117|2019-001169-34","February 24, 2020","February 24, 2022","March 28, 2025","December 10, 2019",,"December 10, 2019",,,"https://ClinicalTrials.gov/show/NCT04191616"
7,"NCT04185883","AMG 510 Activity in Subjects With Advanced Solid Tumors With KRAS p.G12C Mutation (CodeBreak 101)",,"Recruiting","No Results Available","Advanced Solid Tumors|Kirsten Rat Sarcoma (KRAS) pG12C Mutation","Drug: AMG 510|Drug: PD1 inhibitor","Number of Participants with Abnormal Laboratory Values|Number of subjects with clinically significant changes in vital signs.|Number of subjects with changes on ECG.|Maximum Plasma concentration (Cmax)|Time to maximum plasma concentration (tmax)|Area under the plasma concentration-time curve (AUC)|Disease control rate|Duration of response|Progression-free survival|Duration of stable disease","Amgen","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 1","120","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20190135","December 17, 2019","July 7, 2022","December 2, 2024","December 4, 2019",,"January 21, 2020","City of Hope, Duarte, California, United States|MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04185883"
8,"NCT04175808","Study to Assess the Effect of Omecamtiv Mecarbil (OM) on QT/QTc Intervals in Healthy Subjects",,"Active, not recruiting","No Results Available","QT Intervals Changes|QTc Intervals Changes","Drug: Omecamtiv Mecarbil (OM)|Drug: Placebo|Drug: Moxifloxacin","Change from baseline in QT interval corrected for heart rate based on the Fridericia correction|PK parameters for Omecamtiv mecarbil following oral administration included but not limited to maximum serum concentration (Cmax)|PK parameters for Omecamtiv mecarbil following oral administration included but not limited to time to maximum plasma concentration (Tmax)|PK parameters for Omecamtiv mecarbil following oral administration included but not limited to if feasible, half-life (t1/2)|PK parameters for Omecamtiv mecarbil following oral administration included but not limited apparent volume of distribution (VZ/F)|PK parameters for Omecamtiv mecarbil following oral administration included but not limited apparent total plasma clearance (CL/F)|PK parameters for Omecamtiv mecarbil following oral administration included but not limited area under the concentration-time curve (AUC) from time 0 to the last quantifiable concentration (AUC0-t)|PK parameters for Omecamtiv mecarbil following oral administration included but not limited AUC from time 0 to infinity (AUCinf)|PK parameters for Omecamtiv mecarbil following oral administration included but not limited the percentage of AUCinf due to extrapolation (%AUCextrap)|Changes in T-wave morphology|Changes in U-wave presence|Number of Subjects with Changes in laboratory safety tests|Number of Subjects with Changes in Blood pressure|Number of Subjects with Changes in ECGs parameters|Subject incidence of treatment-emergent adverse events (TEAEs)|Number of Subjects with Changes in pulse rate|Number of Subjects with Changes in body temperature","Amgen","All","18 Years to 45 Years   (Adult)","Phase 1","70","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20090231|2018-003157-19","November 14, 2019","March 4, 2020","March 4, 2020","November 25, 2019",,"January 13, 2020","Research Site, Leeds, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04175808"
9,"NCT04117958","Safety, Tolerability, Pharmacokinetics, and Efficacy of AMG 199 in Subjects With MUC17-Positive Gastric and Gastroesophageal Junction Cancer",,"Recruiting","No Results Available","Gastric and Gastroesophageal Junction Cancer","Drug: AMG 199","Incidence of Dose-limiting toxicities (DLT)|Incidence of Treatment-emergent adverse events (TEAEs)|Incidence of Treatment-related adverse events (TRAEs)|Number of subjects with changes in vital signs|Number of subjects with changes in clinical laboratory tests|Number of subjects with changes in electrocardiogram (ECG)|Maximum serum concentration (Cmax) of AMG 199|Minimum serum concentration (Cmax) of AMG 199|Area under the concentration-time curve (AUC) of AMG 199|Accumulation following multiple dosing of AMG 199|Half-life (t1/2) of AMG 199|Objective response (OR) per Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 and iRECIST.|Duration of response (DOR).|Time to progression (TTP)|Progression-free survival (PFS), 6-month PFS|Progression-free survival (PFS), 1-year PFS|Overall survival (OS), 1-year OS.|Overall survival (OS), 2-year OS","Amgen","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 1","70","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20180290|2019-002708-42","January 20, 2020","February 9, 2024","September 13, 2026","October 7, 2019",,"January 18, 2020","Research Site, Duarte, California, United States",,"https://ClinicalTrials.gov/show/NCT04117958"
10,"NCT04068181","Talimogene Laherparepvec With Pembrolizumab in Melanoma Following Progression on Prior Anti-PD-1 Based Therapy (MASTERKEY-115)",,"Not yet recruiting","No Results Available","Melanoma","Drug: Talimogene laherparepvec|Drug: Pembrolizumab","Objective Response Rate (Complete Response plus Partial Response by investigator assessment using modified Response Evaluation Criteria in Solid Tumor (RECIST v1.1))|Complete Response Rate by investigator assessment using Response Evaluation Criteria in Solid Tumor (RECIST v1.1) and modified immune-related Response Criteria simulating Response Evaluation Criteria in Solid Tumors (irRC-RECIST).|Best Overall Response by investigator assessment using Response Evaluation Criteria in Solid Tumor (RECIST v1.1) and modified immune-related Response Criteria simulating Response Evaluation Criteria in Solid Tumors (irRC-RECIST).|Durable Response Rate by investigator assessment using Response Evaluation Criteria in Solid Tumor (RECIST v1.1) and modified immune-related Response Criteria simulating Response Evaluation Criteria in Solid Tumors (irRC-RECIST).|Duration Of Response by investigator assessment using Response Evaluation Criteria in Solid Tumor (RECIST v1.1) and modified immune-related Response Criteria simulating Response Evaluation Criteria in Solid Tumors (irRC-RECIST).|Disease Control Rate by investigator assessment using Response Evaluation Criteria in Solid Tumor (RECIST v1.1) and modified immune-related Response Criteria simulating Response Evaluation Criteria in Solid Tumors (irRC-RECIST).|Objective Response Rate by investigator assessment using modified immune-related Response Criteria simulating Response Evaluation Criteria in Solid Tumors (irRC-RECIST).|Progression Free Survival by investigator assessment using modified Response Evaluation Criteria in Solid Tumor (RECIST) v1.1 and modified immune-related Response Criteria simulating Response evaluation criteria in Solid Tumors (irRC-RECIST).|Overall Survival|Incidence of treatment-emergent adverse events.|Incidence of treatment related adverse events.|Incidence of abnormal laboratory tests.|Time to subsequent anti-cancer therapy.","Amgen|Merck Sharp & Dohme Corp.","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","100","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20180115|2019-001906-61","January 27, 2020","April 23, 2021","October 24, 2023","August 28, 2019",,"October 21, 2019",,,"https://ClinicalTrials.gov/show/NCT04068181"
