"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04236440","Study on the Safety of Drug BAY2586116 and How it Works in Patients With Obstructive Sleep Apnea (a Sleep Disorder Caused by the Narrowing and Collapse of the Airway During Sleep) Including the Blood Level of the Drug and Effect of Its Doses and Routes of Administration","KOALA","Not yet recruiting","No Results Available","Sleep Apnea, Obstructive","Drug: BAY2586116 (A1)|Drug: Placebo (A2)|Drug: BAY2586116 (B1)|Drug: BAY2586116 (B2)|Drug: BAY2586116 (B3)","Critical closing pressure (Pcritgs) of the upper airway (cmH2O) during sleep with a polysomnography|Incidence of treatment-emergent adverse events (TEAEs)|Severity of treatment-emergent adverse events (TEAEs)","Bayer","All","18 Years and older   (Adult, Older Adult)","Phase 2","12","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","20732","February 3, 2020","July 24, 2020","August 31, 2020","January 22, 2020",,"January 22, 2020","Adelaide Institute for Sleep Health, Bedford Park, South Australia, Australia",,"https://ClinicalTrials.gov/show/NCT04236440"
2,"NCT04232761","Study to Gather Information on the Safety and How Radium-223 Dichloride, an Alpha Particle-emitting Radioactive Agent, Works Under Routine Clinical Practice in Taiwan in Patients With Castration-resistant Prostate Cancer (CRPC) Which Has Spread to the Bone","RAPIT","Not yet recruiting","No Results Available","Castration-resistant Prostate Cancer","Drug: Radium-223 dichloride (Xofigo, BAY88-8223)","Incidence of treatment-emergent adverse events (TEAEs)|Incidence of drug-related TEAEs|Descriptive analysis of long-term safety information during the extended follow-up period|Overall survival|Time to the first symptomatic skeletal event (SSE)|Proportion of patients with total ALP (tALP) response|Proportion of patients with PSA response|Change in pain status|Change in ECOG-PS","Bayer","Male","Child, Adult, Older Adult",,"300","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","21124","August 1, 2020","January 1, 2024","January 1, 2024","January 18, 2020",,"January 18, 2020","Many locations, Multiple Locations, Taiwan",,"https://ClinicalTrials.gov/show/NCT04232761"
3,"NCT04218266","Study to Gather Information About the Proper Dosing of the Oral FXIa Inhibitor BAY 2433334 and to Compare the Safety of the Study Drug to Apixaban, a Non-vitamin K Oral Anticoagulant (NOAC) in Patients With Irregular Heartbeat (Atrial Fibrillation) That Can Lead to Heart-related Complications.","PACIFIC-AF","Not yet recruiting","No Results Available","Atrial Fibrillation (AF)","Drug: BAY2433334|Drug: Apixaban|Other: BAY2433334 matching placebo|Other: Apixaban matching placebo","Number of participants with composite of ISTH major and clinically relevant non-major bleeding|Number of participants with all bleeding|Number of participants with ISTH major bleeding|Number of participants with ISTH clinically relevant non-major bleeding|Number of participants with ISTH minor bleeding","Bayer","All","45 Years and older   (Adult, Older Adult)","Phase 2","750","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","19765|2019-002365-35","January 15, 2020","June 22, 2021","June 22, 2021","January 6, 2020",,"January 6, 2020","Krankenhaus St. Josef Braunau, Braunau, Oberösterreich, Austria|Krankenhaus der Elisabethinen Linz GmbH, Linz, Oberösterreich, Austria|Medizinische Universität Graz, Graz, Steiermark, Austria|Landeskrankenhaus - Universitätskliniken Innsbruck, Innsbruck, Tirol, Austria|Landeskrankenhaus Feldkirch, Feldkirch, Vorarlberg, Austria|Uniklinikum Salzburg - Landeskrankenhaus, Salzburg, Austria|Allgemeines Krankenhaus der Stadt Wien, Wien, Austria|Krankenhauses Nord - Klinik Floridsdorf, Wien, Austria|UZ Leuven Gasthuisberg, Leuven, Vlaams Brabant, Belgium|Imeldaziekenhuis - St-Elisabethkliniek, Bonheiden, Belgium|AZ St-Jan Brugge Oostende AV, Brugge, Belgium|UZ Antwerpen, Edegem, Belgium|Jessa Ziekenhuis, Hasselt, Belgium|VZW Emmaus, Mechelen, Belgium|H. Hartziekenhuis Mol, MOL, Belgium|AZ Delta, Roeselare, Belgium|Royal Alexandra Hospital, Edmonton, Alberta, Canada|Queen Elizabeth II Health Sciences Centre, Halifax, Nova Scotia, Canada|Cambridge Cardiac Care Center, Cambridge, Ontario, Canada|Population Health Research Institute, Hamilton, Ontario, Canada|St. Michael's Hospital Health Centre, Toronto, Ontario, Canada|Montreal Heart Institute, Montreal, Quebec, Canada|Clinique Sante Cardio MC, Montreal, Quebec, Canada|Institut universitaire de cardiologie et de pneumologie, Ste-Foy, Quebec, Canada|Oblastni Nemocnice Kladno, Kladno, Czechia|Fakultni nemocnice Plzen, Plzen, Czechia|Fakultni nemocnice Kralovske Vinohrady, Praha 10, Czechia|Institut Klinicke a Experimentalni Mediciny, Praha 4, Czechia|Fakultni nemocnice v Motole, Praha 5, Czechia|Nemocnice Slany, Slany, Czechia|Nemocnice Pardubickeho kraje a.s., Orlickoustecka nemocnice, Usti nad Orlici, Czechia|Krajska nemocnice T. Bati, a.s., Zlin, Czechia|Hôpital Henri Mondor, Creteil, France|Centre Hospitalier Départemental Vendée, La Roche Sur Yon Cedex, France|Centre Hospitalier Louis Pasteur, Le Coudray, France|Hopital de Cardiologie - Lille, LILLE cedex, France|Hopital Bichat - Paris, Paris, France|Centre Hospitalier Régional - Saint Brieuc, Saint Brieuc, France|Hôpital de Rangueil - Toulouse, Toulouse, France|Centre Hospitalier - Valenciennes Cedex, Valenciennes Cedex, France|University of Semmelweis/ Semmelweis Egyetem, Budapest, Hungary|Magyar Honvedseg Egeszsegugyi Kozpont Honvedkorhaz, Budapest, Hungary|Magyar Honvedseg Egeszsegugyi Kozpont Honvedkorhaz, Budapest, Hungary|Kanizsai Dorottya Hospital, Nagykanizsa, Hungary|Medifarma-98 Egeszsegugyi, Kereskedelmi es Szolgaltato Kft., Nyiregyhaza, Hungary|Pecsi Tudomanyegyetem Klinikai Kozpont, Pecs, Hungary|Tolna Megyei Balassa Janos Korhaz, Szekszard, Hungary|Dr. Bugyi Istvan Hopsital (Korhaz), Szentes, Hungary|A.O.U. Policlinico Umberto I, Roma, Lazio, Italy|IRCCS A.O.U. San Martino IST Ist. Nazionale Ricerca Cancro, Genova, Liguria, Italy|ASST Spedali Civili di Brescia, Brescia, Lombardia, Italy|ASUR Marche - Area Vasta 5, Ascoli Piceno, Marche, Italy|A.O. Ospedali Riuniti Villa Sofia-Cervello, Palermo, Sicilia, Italy|AUSL Toscana Sud-Est, Arezzo, Toscana, Italy|AUSL Toscana Sud-Est, Arezzo, Toscana, Italy|A.O. di Perugia, Perugia, Umbria, Italy|Nakamura Cardiovascular Clinic, Itoshima, Fukuoka, Japan|Hyogo Brain and Heart Center, Himeji, Hyogo, Japan|Okinawa Tokushukai Hayama Heart Center, Miura-gun, Kanagawa, Japan|Kishiwada Tokushukai Hospital, Kishiwada, Osaka, Japan|Yao Tokushukai General Hospital, Yao, Osaka, Japan|Nishiarai Heart Center Hospital, Adachi-ku, Tokyo, Japan|Minamino Cardiovascular Hospital, Hachioji, Tokyo, Japan|Tokyo Angel Hospital, Hachioji, Tokyo, Japan|Koto Hospital, Koto-ku, Tokyo, Japan|Doctor's Practice in Cardiology, Daugavpils, Latvia|Daugavpils Regional Hospital, Daugavpils, Latvia|Liepaja Regional Hospital, Liepaja, Latvia|1st Riga Clinical Hospital, Riga, Latvia|Clinic of Obstetrics and Gynaecology, Riga, Latvia|Riga East Clinical University Hospital ""Gailezers"", Riga, Latvia|Ventspils Hospital, Ventspils, Latvia|Amphia Ziekenhuis, locatie Molengracht, Breda, Noord-Brabant, Netherlands|Academisch Medisch Centrum (AMC), Amsterdam, Netherlands|Ziekenhuis Rijnstate, Arnhem, Netherlands|Albert Schweitzer Ziekenhuis, Locatie Dordwijk, Dordrecht, Netherlands|Medisch Spectrum Twente, Enschede, Netherlands|Martini Ziekenhuis, Locatie van Swieten, Groningen, Netherlands|Spaarne Gasthuis - locatie Zuid, Haarlem, Netherlands|Maastricht UMC, Maastricht, Netherlands|Ciutat Sanitària i Universitària de Bellvitge, L'Hospitalet de Llobregat, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Ciutat Sanitària i Universitaria de la Vall d'Hebron, Barcelona, Spain|Hospital de la Santa Creu i de Sant Pau, Barcelona, Spain|Hospital Ramón y Cajal, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Virgen de la Victoria, Málaga, Spain|Hospital Arnau de Vilanova de Valencia, Valencia, Spain|Falu Lasarett, Falun, Sweden|SU/Östra, Göteborg, Sweden|Capio Citykliniken Närsjukvården AB, Lund, Sweden|Skellefteå Lasarett, Skellefteå, Sweden|Södersjukhuset AB, Stockholm, Sweden|Danderyds sjukhus, Stockholm, Sweden|Avdelningen för kliniska prövningar AKP, Örebro, Sweden|Östersunds Sjukhus, Östersund, Sweden|Kantonsspital Aarau, Aarau, Aargau, Switzerland|Universitätsspital Basel, Basel, Basel-Stadt, Switzerland|Kantonsspital St. Gallen, St. Gallen, Sankt Gallen, Switzerland|Kantonsspital Winterthur, Winterthur, Zürich, Switzerland|Inselspital Universitätsspital Bern, Bern, Switzerland|Hôpital Cantonal Universitaire de Genève, Genève, Switzerland|Ospedale regionale di Lugano, Lugano, Switzerland|Luzerner Kantonsspital, Luzern, Switzerland|Staploe Medical Centre, Ely, Cambridgeshire, United Kingdom|Royal Cornwall Hospital, Truro, Cornwall, United Kingdom|Chesterfield Royal Hospital, Chesterfield, Derbyshire, United Kingdom|Queen Elizabeth II Hospital, Welwyn Garden City, Hertfordshire, United Kingdom|Northwick Park Hospital, Harrow, London, United Kingdom|University Hospital of Wales, Cardiff, United Kingdom|Heart and Chest Hospital, Liverpool, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04218266"
4,"NCT04183270","Survey on Belgian Patients Suffering From Irregular Heartbeat and Starting Treatment With a Drug to Prevent Blood Clots in Blood Vessels and the Heart. This Study is Also Called BELANCOS.","BELANCOS","Not yet recruiting","No Results Available","Consumer Expectations","Other: Questionnaires","Age categories of patients|Gender (Female or male) of patients|Patients' level of agreement with various statements of using NOACs in general|Level of patients fear of having a bleeding on a scale from 0 - 10|Level of patients fear of having a stroke or thrombosis on a scale from 0 - 10|Age categories of physicians|Gender (Female or male) of physicians|Physicans' level of agreement with various statement of using NOACs in general|Level of patients fear of having a bleeding assessed by physicans on a scale from 0 - 10|Level of patients fear of having a stroke or thrombosis assessed by physicians on a scale from 0 - 10","Bayer","All","18 Years and older   (Adult, Older Adult)",,"315","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","21153","January 31, 2020","April 30, 2020","June 30, 2020","December 3, 2019",,"January 10, 2020","Many locations, Multiple Locations, Belgium",,"https://ClinicalTrials.gov/show/NCT04183270"
5,"NCT04174859","Study Aims to Collect Information in Routine Clinical Practice in Italy About the Number of Patients Suffering From Irregularly Heart Beats Which Are Not Caused by a Heart Valve Problem (Non-valvular Atrial Fibrillation, NVAF) Who Stopped or Changed Rivaroxaban Treatment","RITMUS-AF","Recruiting","No Results Available","Non-valvular Atrial Fibrillation","Drug: Rivaroxaban (Xarelto, BAY59-7939)","Date of start of rivaroxaban treatment|Date of stop of rivaroxaban treatment|Number of patients who discontinue (i.e: number of discontinuation) from study initiation to end of observation/follow up.|Reasons for discontinuation of rivaroxaban therapy|Reason for dose change of rivaroxaban therapy|Reason for switch to other therapy|Treatment adherence: Self-reported medication adherence measured by the MMAS-8 (Morinsky Scale score)","Bayer|Janssen Research & Development, LLC","All","18 Years and older   (Adult, Older Adult)",,"800","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","20999","December 10, 2019","June 1, 2023","December 31, 2023","November 22, 2019",,"January 13, 2020","Many locations, Multiple Locations, Italy",,"https://ClinicalTrials.gov/show/NCT04174859"
6,"NCT04162795","A Study to Evaluate Cooling Sensation of an Allergy Product in Adults With a History of Allergies",,"Completed","No Results Available","Allergic Rhinitis","Drug: BAY76-2211 (Loratadine)","Agreement of perception of cooling sensation|Time to perception of cooling sensation|Duration of cooling sensation|Agreement of perception of refreshing sensation|Agreement of the great tastes of the product|Agreement of the enjoyable product experience|Agreement of liking the flavor sensation of the product|Agreement of the unique sensory experience for an allergy medicine|Agreement of the refreshing of the cooling sensation|Agreement of soothing feeling on the throat","Bayer","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","456","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","21048","November 12, 2019","November 13, 2019","November 13, 2019","November 14, 2019",,"December 16, 2019","Focus Pointe Global, Teaneck, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT04162795"
7,"NCT04157088","Study to Compare the Effects of Drug Darolutamide and Drug Enzalutamide on Physical Function, Including Balance and Daily Activity, in Patients With Castration-resistant Prostate Cancer (CRPC)","DaroAcT","Not yet recruiting","No Results Available","Prostatic Cancer, Castration-Resistant","Drug: Darolutamide(Nubeqa, BAY1841788)|Drug: Enzalutamide","Proportion of participants with a worsening in TUG (Time Up and Go) time|Proportion of participants with an increase of at least 1 second in TUG time|Proportion of participants with a worsening in Short Physical Performance Battery (SPPB) total score|Mean change from baseline in daily physical activity as assessed by accelerometry|Mean change from baseline in accelerometer-assessed proportion of time spent in light to vigorous physical activity based on a threshold of >100 activity counts per minute|Proportion of participants with a decline in cognitive function|Proportion of participants with a decline using a selected domain of FACT-Cog|Proportion of participants with a worsening of fatigue|Proportion of participants with an increase of at least 1 point in fatigue interference|Proportion of participants with a worsening in scores in the PHQ-9|Number of participants with emergent AEs, SAEs, and AEs leading to study intervention discontinuation|Number of participants with AEs of interest, including falls, fractures, and hypothyroidism","Bayer","Male","18 Years and older   (Adult, Older Adult)","Phase 2","150","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20609","November 30, 2019","December 31, 2022","December 31, 2022","November 8, 2019",,"November 8, 2019",,,"https://ClinicalTrials.gov/show/NCT04157088"
8,"NCT04147819","A First in Human Study of BAY2701439 to Look at Safety, How the Body Absorbs, Distributes and Excretes the Drug, and How Well the Drug Works in Participants With Advanced Cancer Expressing the HER2 Protein",,"Not yet recruiting","No Results Available","Cancers With HER2 Expression","Drug: BAY2701439|Drug: BAY2701438","Dose escalation: Incidence of TEAEs including TESAEs|Dose escalation: Severity of TEAEs including TESAEs|Dose escalation: Frequency of DLTs at each dose level|Dose expansion: ORR by RECIST 1.1|Dose expansion: Frequency of TEAEs|Dose expansion: Severity of TEAEs|Dose escalation: Recommended dose level(s) of BAY2701439 for the dose expansion cohorts|Dose escalation: Recommended treatment schedule of BAY2701439 for the dose expansion cohorts|Dose expansion: Recommended dose for further clinical development of BAY2701439|Cmax of thorium-227|Cmax of radium-223|Cmax of total antibody|AUC(0-42 days) of thorium-227|AUC(0-42 days) of radium-223|AUC(0-42 days) of total antibody","Bayer","All","18 Years and older   (Adult, Older Adult)","Phase 1","176","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","19829|2019-001741-40","March 1, 2020","October 6, 2024","September 7, 2026","November 1, 2019",,"January 22, 2020","Johns Hopkins Hospital/Health System, Baltimore, Maryland, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|University of Texas MD Anderson Cancer Center, Houston, Texas, United States|Royal Marsden NHS Trust (Surrey), Sutton, Surrey, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04147819"
9,"NCT04142437","Study to Learn More About the Safety and Effectiveness of the Drug VITRAKVI During Routine Use in Patients With TRK Fusion Cancer Which is Locally Advanced or Spread From the Place Where it Started to Other Places in the Body","ON-TRK","Not yet recruiting","No Results Available","Locally Advanced or Metastatic Solid Tumor Harboring an NTRK Gene Fusion","Drug: larotrectinib(Vitrakvi, BAY2757556)","Number of participants with treatment-emergent adverse events (TEAEs)|Severity of TEAEs|Seriousness of TEAEs|Outcome of TEAEs|Causality of TEAEs|Action taken related to larotrectinib treatment|Objective response rate (ORR)|Disease control rate (DCR)|Duration of response (DOR)|Time to response (TTR)|Progression-free survival (PFS)|Overall survival (OS)|Total dose|Starting and ending dose|Dose modification during treatment|Duration of treatment (DOT)|ORR by patient subgroup(s)|DCR by patient subgroup(s)|DOR by patient subgroup(s)|TTR by patient subgroup(s)|PFS by patient subgroup(s)|OS by patient subgroup(s)|Change in height and weight from baseline by visit|Number of patients with abnormal neurological assessments|Number of patients with abnormal developmental milestones|Number of patients with abnormal Tanner stage","Bayer","All","Child, Adult, Older Adult",,"300","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","20324","January 31, 2020","November 30, 2027","March 31, 2028","October 29, 2019",,"January 22, 2020",,,"https://ClinicalTrials.gov/show/NCT04142437"
10,"NCT04137120","Study to Gather Information on the Safety and Use of Aflibercept Injections Into the Eye for the Treatment of Eye Disorders in Mexican Routine Clinical Practice","MAIA","Not yet recruiting","No Results Available","Retinal Disease","Drug: Aflibercept (BAY86-5321, Eylea)","Number of ocular adverse events|Number of serious ocular adverse events|Seriousness reason for ocular adverse events|Severity of ocular adverse events|Number of treatment-related ocular adverse events|Number of injection-related ocular adverse events|Action taken with drug after ocular adverse event|Clinical outcome of ocular adverse event|Duration of ocular adverse events|Duration of patient follow-up after ocular adverse event (in months)|Number of non-ocular adverse events|Number of serious non-ocular adverse events|Seriousness reason for non-ocular adverse events|Severity of non-ocular adverse events|Number of treatment-related non-ocular adverse events|Number of injection-related non-ocular adverse events|Action taken with drug after non-ocular adverse event|Clinical outcome of non-ocular adverse event|Duration of non-ocular adverse events|Duration of patient follow-up after non-ocular adverse event (in months)|Total number of injections with intravitreal aflibercept per study eye|Time between injections in the study eye (in days)|Time between injections in the study eye and fellow eye (in days)|Number of patients receiving bilateral treatment","Bayer|Regeneron Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)",,"69","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","19212","April 15, 2020","January 15, 2022","January 15, 2022","October 23, 2019",,"January 18, 2020","Many locations, Multiple Locations, Mexico",,"https://ClinicalTrials.gov/show/NCT04137120"
