"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02273739","Study of Orally Administered AG-221 in Subjects With Advanced Solid Tumors, Including Glioma, and With Angioimmunoblastic T-cell Lymphoma, With an IDH2 Mutation Subjects With Advanced Solid Tumors, Including Glioma, and With Angioimmunoblastic T-cell Lymphoma, With an IDH2 Mutation",,"Completed","No Results Available","Solid Tumor|Glioma|Angioimmunoblastic T-cell Lymphoma|Intrahepatic Cholangiocarcinoma|Chondrosarcoma","Drug: AG-221","Safety/tolerability: incidence of adverse events|Maximum Tolerated Dose and/or the recommended Phase II dose of AG-221 in subjects with advanced solid tumors, including glioma, and AITL|Identification and Description of Dose Limiting Toxicities associated with AG-221 in subjects with advanced solid tumors, including glioma, and with AITL|Pharmacokinetic profiles including max concentration (Cmax), time to maximum concentration (Tmax), AUC, and elimination half-life|Pharmacodynamic relationship between levels of AG-221 and 2-HG|Clinical Activity according to RECIST v1.1 (2009), RANO (2010), and IWG for malignant lymphoma (2007)","Celgene|Celgene Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","21","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","AG221-C-003","October 24, 2014","June 30, 2016","June 30, 2016","October 24, 2014",,"October 30, 2018","Los Angeles, California, United States|Los Angeles, California, United States|Miami, Florida, United States|Baltimore, Maryland, United States|Boston, Massachusetts, United States|Omaha, Nebraska, United States|New York, New York, United States|Cleveland, Ohio, United States|Nashville, Tennessee, United States|Dallas, Texas, United States|Bordeaux, France|Villejuif Cedex, France",,"https://ClinicalTrials.gov/show/NCT02273739"
2,"NCT02103335","Combination Study of Pomalidomide, Marizomib, and Low-Dose Dexamethasone in Relapsed and Refractory Multiple Myeloma",,"Completed","No Results Available","Multiple Myeloma in Relapse|Refractory Multiple Myeloma|Multiple Myeloma","Drug: pomalidomide|Drug: marizomib|Drug: low-dose dexamethasone","Maximum tolerated dose and/or recommended Phase 2 dose|Adverse events|Response rate","Celgene|Celgene Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 1","38","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NPI-0052-107","June 5, 2014","October 3, 2016","November 30, 2016","April 3, 2014",,"November 22, 2017","University of Chicago Medical Center, Chicago, Illinois, United States|University of Maryland, Baltimore, Maryland, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Karmanos Cancer Center, Detroit, Michigan, United States|Peter MacCallum Cancer Centre, East Melbourne, Victoria, Australia|Alfred Hospital, Prahran, Victoria, Australia",,"https://ClinicalTrials.gov/show/NCT02103335"
3,"NCT03983239","Effect of Rifampin and Efavirenz on the Pharmacokinetics of Fedratinib in Healthy Adult Subjects",,"Recruiting","No Results Available","Healthy Volunteers","Drug: Fedratinib|Drug: Rifampin|Drug: Efavirenz","Fedratinib Pharmacokinetic - Cmax|Fedratinib Pharmacokinetic - Tmax|Fedratinib Pharmacokinetic - AUC0-t|Fedratinib Pharmacokinetic - AUC0-∞|Fedratinib Pharmacokinetic - t1/2|Fedratinib Pharmacokinetic - CL/F|Fedratinib Pharmacokinetic - Vz/F|Adverse Events (AEs)","Celgene|Impact Biomedicines, Inc., a wholly owned subsidiary of Celgene Corporation","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","32","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FEDR-CP-002|U1111-1233-7946","December 15, 2019","December 15, 2020","December 15, 2020","June 12, 2019",,"October 18, 2019","Covance Clinical Research Unit Inc - Dallas, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03983239"
4,"NCT03983161","A Pharmacokinetics and Tolerability Study of Fedratinib in Subjects With Moderate and Severe Hepatic Impairment",,"Not yet recruiting","No Results Available","Healthy Volunteers|Hepatic Impairment","Drug: Fedratinib","Fedratinib Pharmacokinetic (PK): AUC0-t|Fedratinib Pharmacokinetic (PK): AUC0-∞|Fedratinib Pharmacokinetic (PK): Cmax|Fedratinib Pharmacokinetic (PK): Tmax|Fedratinib Pharmacokinetic (PK): t1/2|Fedratinib Pharmacokinetic (PK): CL/F|Fedratinib Pharmacokinetic (PK): Vz/F|Adverse Events (AEs)","Celgene|Impact Biomedicines, Inc., a wholly owned subsidiary of Celgene Corporation","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","32","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FEDR-CP-001|U1111-1233-7820","December 15, 2019","December 15, 2021","December 15, 2021","June 12, 2019",,"October 15, 2019","University of Miami Miller School of Medicine, Miami, Florida, United States|Orlando Clinical Research Center OCRC, Orlando, Florida, United States|Volunteer Research Group and New Orleans Center for Clinical Research - Knoxville, Knoxville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT03983161"
5,"NCT03952039","An Efficacy and Safety Study of Fedratinib Compared to Best Available Therapy in Subjects With DIPSS-intermediate or High-risk Primary Myelofibrosis, Post-polycythemia Vera Myelofibrosis, or Post-essential Thrombocythemia Myelofibrosis and Previously Treated With Ruxolitinib","FREEDOM2","Recruiting","No Results Available","Primary Myelofibrosis|Post-Polycythemia Vera|Myelofibrosis","Drug: FEDRATINIB|Drug: Best Available Therapy (BAT)","Proportion of subjects who have ≥ 35% SVR at end of cycle 6|Proportion of subjects with ≥ 50% reduction in total symptom scores measured by MFSAF at end of cycle 6|Proportion of subjects who have ≥ 25% reduction in spleen volume at the end of cycle 6|Adverse Events (AEs)|Proportion of subjects who have ≥ 50% reduction in spleen size by palpation at end of cycle 6|Durability of Spleen Volume Response by MRI/CT (DR)|Duration of ≥ 50 % reduction in spleen size by palpation for subjects with a palpable spleen at least 5 cm below the left costal margin (LCM) at baseline|Duration of ≥ 50% reduction in total symptom scores measured by MFSAF|Time from randomization to death due to any reason or disease progression (modified IWG-MRT 2013 including ≥ 25% increase in spleen volume by MRI/CT)|Gastrointestinal Adverse Events|Wernicke encephalopathy (WE) events|Health-Related Quality of Life (HRQoL)|EQ-5D-5L|Overall Survival (OS)","Celgene|Impact Biomedicines, Inc., a wholly owned subsidiary of Celgene Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 3","192","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FEDR-MF-002|U1111-1223-2962|2018-003411-21","September 9, 2019","November 24, 2021","May 24, 2025","May 16, 2019",,"October 22, 2019","Saint Vincent's Hospital, Darlinghurst, New South Wales, Australia|Royal Brisbane and Women's Hospital, Herston, Queensland, Australia|Royal Adelaide Hospital, Adelaide, South Australia, Australia|Frankston Hospital, Frankston, Victoria, Australia|Eastern Health Clinical School, Box Hill, Australia|Alfred Hospital, Melbourne, Australia|Medizinische Universitat Innsbruck, Innsbruck, Austria|Salzburger Landkliniken St. Johanns-Spital, Salzburg, Austria|Medical University of Vienna, Vienna, Austria|Klinikum Wels-Grieskirchen GmbH, Wels, Austria|Hanusch Krankenhaus, Wien, Austria|AZ Sint-Jan AV Brugge, Brugge, Belgium|Cliniques Universitaires Saint-Luc, Bruxelles, Belgium|Centre Hospitalier de Jolimont-Lobbes, La Louvière-(Haine St-Paul), Belgium|UZ Leuven, Leuven, Belgium|Centre Hospitalier Universitaire de Liege - Sart Tilman, Liège, Belgium|Cliniques Universitaires UCL de Mont-Godine, Yvoir, Belgium|Peking University People's Hospital, Beijing, China|Peking Union Medical College Hospital, Beijing, China|Fujian Medical University Union Hospital, Fuzhou, China|Guangdong General Hospital, Guangzhou, Guangdong, China|Jiangsu Province Hospital, The First Affiliated Hospital of Nanjing Medical University, Nanjing, China|Shanghai Ruijin Hospital, Shanghai, China|Chinese Academy of Medical Sciences & Peking Union Medical College, Tianjin, China|Henan Cancer Hospital, Zhengzhou, China|Fakultni Nemocnice Brno, Brno, Czechia|Fakultni Nemocnice Ostrava, Ostrava-Poruba, Czechia|Vseobecna Fakultni Nemocnice v Praze, Prague 2, Czechia|CHU d'Angers, Angers, France|CHRU de Brest - Hopital Morvan, Brest, France|Centre Hospitalier de Lens, Lens Cedex, France|CHRU Claude Huriez, Lille, France|CHU Nice Hopital de L'Archet 2, Nice Cedex 3, France|Centre Hospitalier Universitaire de Nimes - Hopital Universitaire Caremeau, Nimes Cedex 9, France|Hopital Saint Louis, Paris, France|CHRU - Hopital du Haut Leveque, Pessac, France|Centre Hospitalier Lyon Sud - Hospices Civils de Lyon Groupement Hospitalier Sud, Pierre-Benite, France|CHU Strasbourg - Hopital Civil, Strasbourg, France|Institut Universitaire du Cancer de Toulouse - Oncopole, Toulouse Cedex 9, France|Unviversitatsklinikum Aachen, Aachen, Germany|Klinikum der Johann Wolfgang Goethe Universitat, Frankfurt am Main, Germany|Universitaetsklinikum Halle Saale, Halle, Germany|Universitaetsklinikum Jena, Jena, Germany|Universitaetsklinikum Magdeburg A oeR, Magdeburg, Germany|Universitatsklinikum Mannheim, Mannheim, Germany|Johannes Wiesling Klinikum Minden, Minden, Germany|TU München - Klinikum rechts der Isar, München, Germany|Universitaetsklinikum Ulm, Ulm, Germany|Semmelweis Egyetem, Budapest, Hungary|Petz Aladar Megyei Oktato Korhaz, Gyor, Hungary|Somogy Megyei Kaposi Mor Oktato Korhaz, Kaposvar, Hungary|Szegedi Tudomanyegyetem - Szent-Gyorgyi Albert Klinikai Kozpont, Szeged, Hungary|Cork University Hospital, Cork, Ireland|Mater Misericordiae University Hospital, Dublin, Ireland|St. James' Hospital, Dublin, Ireland|A.O.U. di Bologna Policlinico S.Orsola-Malpighi, Bologna, Italy|ASST Spedali Civili P.O. di Brescia, Brescia, Italy|Azienda Ospedaliero - Universitaria ""Policlinico - Vittorio Emanuele"" - Ospedale Gaspare Rodolico, Catania, Italy|Azienda Ospedaliero-Universitaria Careggi, Firenze, Italy|IRCSS Ospedale Maggiore Policlinico, Mangiagalli e Regina Elena, Milano, Italy|Ospedale Cardarelli, Naples, Italy|Fondazione IRCCS Policlinico San Matteo, Pavia, Italy|Universita Cattololica del Sacro Cuore, Roma, Italy|Azienda Ospedaliera S. Andrea - Università La Sapienza, Roma, Italy|Policlinico Umberto I - Università La Sapienza, Rome, Italy|Azienda Ospedaliera Citta della Salute e della Scienza di Torino, Torino, Italy|Azienda Ospedaliero-Universitaria Santa Maria della Misericordia die Udine, Udine, Italy|Universita degli Studi dell'Insubria - Ospedale di Circolo e Fondazione Macchi - Varese, Varese, Italy|Seoul National University Bundang Hospital, Seongnam-si, Korea, Republic of|Seoul St Marys Hospital College of Medicine The Catholic University of Korea, Seoul, Korea, Republic of|Soon Chun Hyang University Hospital Seoul, Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|UMC Maastricht, Maastricht, Netherlands|Radboud University Medical Center, Nijmegen, Netherlands|Oddzial Kliniczny Kliniki Hematologii, Krakow, Poland|Szpital Kliniczny im. H.Swiecickiego Uniwersytetu Medycznego im. Karola Marcinkowskiego w Poznaniu, Poznan, Poland|Instytut Hematologii i Transfuzjologii w Warszawie, Warszawa, Poland|Akademicki Szpital Kliniczny im. Jana Mikulicza-Radeckiego, Wroclaw, Poland|Moscow State Healthcare Institution City clinical hospital n.a. S.P.Botkin, Moscow, Russian Federation|Semashko Central Clinical Hospital #2 under OJSC Russian Railways, Moscow, Russian Federation|Russian Research Institute of Hematology and Transfusiology of the Federal Biomedical Agency, Saint Petersburg, Russian Federation|Pavlov First Saint Petersburg State Medical University, Saint-Petersburg, Russian Federation|Federal Centre of Heart, Blood and Endocrinology of Rosmed technlologies V.A. Almazov, St Petersburg, Russian Federation|Hospital General Universitario de Alicante, Alicante, Spain|Hospital Universitari Germans Trias i Pujol, Badalona (Barcelona), Spain|Hospital Universitario Cruces, Barakaldo, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Universitario de Gran Canaria Dr. Negrin, Las Palmas de Gran Canaria, Spain|Hospital Ramon y Cajal, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario Virgen de la Victoria, Malaga, Spain|Hospital General Universitario Morales Meseguer, Murcia, Spain|Universitario de Salamanca - Hospital Clinico, Salamanca, Spain|Hospital Clinico Universitario de Santiago, Santiago de Compostela, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|University Hospitals Birmingham NHS Foundation Trust - Queen Elizabeth Hospital, Birmingham, United Kingdom|United Lincolnshire Hospitals NHS Trust, Boston, United Kingdom|Guy's and St Thomas' NHS Foundation Trust - Guy's Hospital, London, United Kingdom|Imperial College Hammersmith Hospital, London, United Kingdom|The Christie NHS Foundation Trust, Manchester, United Kingdom|Nottingham City Hospital, Nottingham, United Kingdom|The Churchill Hospital, Oxford, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03952039"
6,"NCT03755518","An Efficacy and Safety Trial of Fedratinib in Subjects With DIPSS, Intermediate or High-Risk Primary Myelofibrosis, Post-Polycythemia Vera Myelofibrosis, or Post-Essential Thrombocythemia Myelofibrosis and Previously Treated With Ruxolitinib","FREEDOM","Recruiting","No Results Available","Primary Myelofibrosis|Post-Polycythemia Vera|Myelofibrosis","Drug: FEDRATINIB","Proportion of subjects who have a ≥ 35% SVR at end of Cycle 6|Adverse Event(s)|Proportion of subjects who have ≥ 50% reduction in spleen size by|Symptom response rate (SRR)|To evaluate durability of spleen volume response (DR)|To evaluate the durability of spleen response by palpation (DRP)|Durability of symptoms response (DSR)|Gastrointestinal Adverse Events|Wernicke encephalopathy (WE) events|Wernicke encephalopathy (WE) thiamine monitoring","Celgene|Impact Biomedicines, Inc., a wholly owned subsidiary of Celgene Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 3","110","Industry|Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FEDR-MF-001|U1111-1223-2862|2018-002237-38","March 27, 2019","June 6, 2022","June 6, 2022","November 28, 2018",,"October 1, 2019","Mayo Clinic Phoenix, Phoenix, Arizona, United States|University of Colorado Cancer Center, Aurora, Colorado, United States|Baptist Health - Miami Cardiac & Vascular Institute, Miami, Florida, United States|Augusta University - Georgia Cancer Center, Augusta, Georgia, United States|Rush University Medical Center - University Cardiovascular Surgeons, Chicago, Illinois, United States|The University of Chicago Medical Center - Duchossois Center for Advanced Medicine, Chicago, Illinois, United States|Advocate Medical Group, Park Ridge, Illinois, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|St. Agnes - Medical Center, Baltimore, Maryland, United States|Center for Cancer and Blood Disorders, P.C., Bethesda, Maryland, United States|Maryland Oncology Hematology PA, Columbia, Maryland, United States|University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, United States|Washington Univ School of Medicine, Saint Louis, Missouri, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Newark Beth Israel Medical Center, Newark, New Jersey, United States|Brookdale University Hospital and Medical Center, Brooklyn, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Columbia University Medical Center, New York, New York, United States|SUNY Upstate Medical University, Syracuse, New York, United States|North Carolina Women's Hospital, Chapel Hill, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|UC Health Barrett Cancer Center, Cincinnati, Ohio, United States|Cleveland Clinic - Taussig Cancer Institute, Cleveland, Ohio, United States|Western Pennsylvania Cancer Institute, Pittsburgh, Pennsylvania, United States|Avera Cancer Institute, Sioux Falls, South Dakota, United States|UT Southwestern Medical Center Simmons Comprehensive Cancer Center, Dallas, Texas, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States|UT Health - San Antonio, San Antonio, Texas, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States|University of Wisconsin Medical School, Madison, Wisconsin, United States|Princess Margaret Hospital University Health Network, Toronto, Ontario, Canada|Hopital Maisonneuve-Rosemont, Montreal, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT03755518"
7,"NCT03723148","Individual Patient Compassionate Use of Fedratinib",,"Available","No Results Available","Myelofibrosis","Drug: Oral Fedratinib",,"Celgene|Impact Biomedicines, Inc., a wholly owned subsidiary of Celgene Corporation","All","18 Years and older   (Adult, Older Adult)",,,"Industry|Other","Expanded Access:Individual Patients",,"FEDR",,,,"October 29, 2018",,"October 22, 2019","Celgene, Summit, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT03723148"
8,"NCT01163071","A Phase 1 Trial of ABI-011 in Patients With Advanced Solid Tumors or Lymphomas",,"Terminated","No Results Available","Advanced Solid Tumors","Drug: ABI-011","DLT's and MTD Safety and Toxicity profile|Safety and toxicity profile of repeated dosing of ABI-011|Evaluate plasma PK of ABI-011 on this schedule|Assess biological activity and PD of ABI-011|Make preliminary assessment of tumor response|Assess biological activity/exploratory during treatment C1, C2, EOS","Celgene|Celgene Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 1","60","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CA601","March 1, 2011","September 23, 2011","September 23, 2011","July 15, 2010",,"November 14, 2019","Karmanos Cancer Center Institute, Detroit, Michigan, United States|CTRC @ The Utah Health Science Center @ San Antonio, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01163071"
9,"NCT00106431","A Single Agent Phase II Study of Romidepsin (Depsipeptide, FK228) in the Treatment of Cutaneous T-cell Lymphoma (CTCL)",,"Completed","Has Results","Cutaneous T-cell Lymphoma","Drug: romidepsin (depsipeptide, FK228)","The Percent of Patients (Pts) With Objective Disease Response|Duration of Objective Disease Response|Time to Objective Disease Response|Time to Disease Progression|Decrease in Pruritus Visual Analogue Scale (VAS) Score of ≥30 mm or a Score of 0 for at Least 2 Consecutive Cycles.|Duration of Objective Disease Control (ODC)|Percent of Pts With Objective Disease Control","Celgene|Celgene Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 2","102","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GPI-04-0001","January 1, 2005","June 1, 2008","December 1, 2008","March 25, 2005","April 23, 2010","October 30, 2019","UCLA Jonsson Cancer Center, Los Angeles, California, United States|Stanford Comprehensive Cancer Center, Stanford, California, United States|Boston Medical Center, Boston, Massachusetts, United States|University of Pennsylvania Abrahamson Cancer Center, Philadelphia, Pennsylvania, United States|Vanderbilt-Ingram Cancer Center, Nashville, Tennessee, United States|MD Anderson Cancer Center, Houston, Texas, United States|Research Site, Multiple Locations, France|Research Site, Multiple Locations, Germany|Research Site, Multiple Locations, Poland|Research Site, Multiple Locations, Russian Federation|Research Site, Multiple Locations, United Kingdom",,"https://ClinicalTrials.gov/show/NCT00106431"
10,"NCT04149678","Drug Interaction Study of the Effect on Cyclosporine on Ozanimod and Major Active Metabolites",,"Recruiting","No Results Available","Healthy Volunteers","Drug: Ozanimod|Drug: Cyclosporine","Pharmacokinetic - Cmax|Pharmacokinetic - AUC∞|Pharmacokinetic - AUClast|Adverse Events (AEs)|Pharmacokinetic - Tmax|Pharmacokinetic - CL/F|Pharmacokinetic - Vz/F|Pharmacokinetic - t1/2","Celgene","All","18 Years to 55 Years   (Adult)","Phase 1","40","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RPC-1063-CP-001|U1111-1239-1156","October 4, 2019","November 13, 2019","December 28, 2019","November 4, 2019",,"November 4, 2019","ICON Early Phase Services, LLC, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04149678"
