"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT05166161","A Long-Term Safety Study of PTC923 in Participants With Phenylketonuria",,"Not yet recruiting","No Results Available","Phenylketonuria","Drug: PTC923","Number of Treatment-Emergent Adverse Events (TEAEs)|Change From Baseline in Dietary Phe/Protein Consumption at Week 26, Measured During Phe Tolerance Assessment Period|Change From Baseline in Quality of Life (QOL) Using Phenylketonuria-Quality of Life (PKU-QOL) Questionnaire at Months 8, 14, 20, 26, 32, and 38|Change From Baseline in QOL Using the European Quality of Life - 5 Dimensions (EQ-5D) at Months 8, 14, 20, 26, 32, and 38","PTC Therapeutics","All","Child, Adult, Older Adult","Phase 3","200","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PTC923-MD-004-PKU|2021-000497-28","January 28, 2022","February 7, 2025","February 7, 2025","December 21, 2021",,"December 21, 2021","University of Colorado and the Children's Hospital CO, Aurora, Colorado, United States|UF College of Medicine, Department of Pediatrics Division of Genetics and Metabolism, Gainesville, Florida, United States|Indiana University School of Medicine, Indianapolis, Indiana, United States|Boston Children's Hospital, Boston, Massachusetts, United States|Icahn School of Medicine at Mount Sinai (ISMMS), New York, New York, United States|UPMC Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, United States|Children's Medical Center Dallas, Dallas, Texas, United States|University of Texas Health Science Center of Texas, Houston, Texas, United States|University of Utah, Division of Medical Genetics (pediatric and adult clinic), Salt Lake City, Utah, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Children's Hospital at Westmead, Westmead, New South Wales, Australia|Westmead Hospital, Westmead, New South Wales, Australia|PARC Clinical Research, Adelaide, South Australia, Australia|Hospital Presidente Vargas, Porto Alegre, Rio Grande Do Sul, Brazil|Hospital de clinicas de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil|Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo, Ribeirão Preto, São Paulo, Brazil|Metabolics and Genetics in Calgary (MAGIC) Clinic, Ltd., Calgary, Alberta, Canada|The Hospital for Sick Children University of Toronto Adult Clinic: The Fred A Litwin Family Centre in Genetic Medicine University Health Network & Mt. Sinai Hospital, Toronto, Ontario, Canada|Copenhagen University Hospital, Rigshospitalet, Copenhagen, Denmark|Bretonneau Hospital - CHRU de Tours, Tours, Centre-Val De Loire, France|CHRU de Tours- Hôpital Pédiatrique de Clocheville, Tours, Centre-Val De Loire, France|Pediatric Surgery Center, Tbilisi, Georgia|University Children's Hospital Hamburg Eppendorf (Kinder-UKE), Hamburg, Germany|Universitätsklinikum Münster, Münster, Germany|Policlinico Umberto I, Rome, Lazio, Italy|Division of Inherited Metabolic Diseases, Azienda Ospedaliera-Università Padova, Padua, Veneto, Italy|PanAmerican Clinical Research, Guadalajara, Jalisco, Mexico|Grupo Médico Camino SC, Benito Juarez, Mexico City, Mexico|UMCG Beatrix Children's Hospital, Groningen, Netherlands|Centro Hospitalar Universitário Do Porto, Epe, Porto, Douro Litoral, Portugal|CENTRO HOSPITALAR UNIVERSITÁRIO LISBOA NORTE Hospital de Santa Maria,, Lisboa, Estremadura, Portugal|CENTRO HOSPITALAR UNIVERSITÁRIO LISBOA NORTE Hospital de Santa Maria, Lisboa, Estremadura, Portugal|Hospital Sant Joan de Déu, Barcelona, Esplugues De Llobregat, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hacettepe University Medical Faculty, Altındağ, Ankara, Turkey|Gazi University Medical Faculty, Yenimahalle, Ankara, Turkey|Istanbul University, Fatih, Istanbul, Turkey|Ege University Faculty of Medicine Children Hospital, Bornova, Izmir, Turkey|Cukurova Üniversity Balcali Hospital Health Application and Research Center, Adana, Turkey|Birmingham Children's Hospital NHS Foundation Trust, Birmingham, United Kingdom|Great Ormond Street Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT05166161"
2,"NCT05099640","A Study of PTC923 in Participants With Phenylketonuria",,"Recruiting","No Results Available","Phenylketonuria","Drug: PTC923|Drug: Placebo","Change From Baseline in Phe Levels at Part 2 Weeks 5 and 6|Percentage of Participants With Baseline Phe Levels ≥600 micromoles (μmol)/liter (L) who Achieved Phe Levels <600 μmol/L at the End of the Double-Blind Treatment Period|Change From Baseline in Mean Blood Phe Levels at Each PTC923 Dose Level (Average of the Each 2-Week Period in Part 2)","PTC Therapeutics","All","Child, Adult, Older Adult","Phase 3","178","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PTC923-MD-003-PKU|2021-000474-29","September 30, 2021","February 9, 2023","February 9, 2023","October 29, 2021",,"October 29, 2021","University of Colorado and the Children's Hospital CO, Aurora, Colorado, United States|UF College of Medicine, Department of Pediatrics Division of Genetics and Metabolism, Gainesville, Florida, United States|Indiana University School of Medicine, Indianapolis, Indiana, United States|Boston Children's Hospital, Boston, Massachusetts, United States|Icahn School of Medicine at Mount Sinai (ISMMS), New York, New York, United States|UPMC Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, United States|Children's Medical Center Dallas, Dallas, Texas, United States|University of Texas Health Science Center of Texas, Houston, Texas, United States|University of Utah, Division of Medical Genetics (pediatric and adult clinic), Salt Lake City, Utah, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Children's Hospital at Westmead, Westmead, New South Wales, Australia|Westmead Hospital, Westmead, New South Wales, Australia|PARC Clinical Research, Adelaide, South Australia, Australia|Hospital Presidente Vargas, Porto Alegre, Rio Grande Do Sul, Brazil|Hospital de clinicas de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil|Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo, Ribeirão Preto, São Paulo, Brazil|Metabolics and Genetics in Calgary (MAGIC) Clinic, Ltd., Calgary, Alberta, Canada|The Hospital for Sick Children University of Toronto, Adult Clinic: The Fred A Litwin Family Centre in Genetic Medicine University Health Network & Mt. Sinai Hospital, Toronto, Ontario, Canada|Copenhagen University Hospital, Rigshospitalet, Copenhagen, Denmark|Bretonneau Hospital - CHRU de Tours, Tours, Centre-Val De Loire, France|CHRU de Tours- Hôpital Pédiatrique de Clocheville, Tours, Centre-Val De Loire, France|Pediatric Surgery Center, Tbilisi, Georgia|University Children's Hospital Hamburg Eppendorf (Kinder-UKE), Hamburg, Germany|Universitätsklinikum Münster, Münster, Germany|Policlinico Umberto I, Rome, Lazio, Italy|Division of Inherited Metabolic Diseases, Azienda Ospedaliera-Università Padova, Padua, Veneto, Italy|PanAmerican Clinical Research, Guadalajara, Jalisco, Mexico|Grupo Médico Camino SC, Benito Juarez, Mexico City, Mexico|UMCG Beatrix Children's Hospital, Groningen, Netherlands|Centro Hospitalar Universitário Do Porto, Epe, Porto, Douro Litoral, Portugal|CENTRO HOSPITALAR UNIVERSITÁRIO LISBOA NORTE Hospital de Santa Maria,, Lisboa, Estremadura, Portugal|CENTRO HOSPITALAR UNIVERSITÁRIO LISBOA NORTE Hospital de Santa Maria, Lisboa, Estremadura, Portugal|Hospital Sant Joan de Déu, Barcelona, Esplugues De Llobregat, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hacettepe University Medical Faculty, Altındağ, Ankara, Turkey|Gazi University Medical Faculty, Yenimahalle, Ankara, Turkey|Istanbul University, Fatih, Istanbul, Turkey|Ege University Faculty of Medicine Children Hospital, Bornova, Izmir, Turkey|Cukurova Üniversity Balcali Hospital Health Application and Research Center, Adana, Turkey|Birmingham Children's Hospital NHS Foundation Trust, Birmingham, United Kingdom|Great Ormond Street Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT05099640"
3,"NCT03761069","Study of PTC299 (Emvododstat) in Relapsed/Refractory Acute Leukemias",,"Recruiting","No Results Available","Leukemia, Myeloid, Acute|AML","Drug: PTC299","Number of Participants Who Discontinued Study Drug Due to Adverse Event (AE)|Time to Maximum Plasma Concentration (Tmax) of both PTC299 and O-desmethyl PTC299 when PTC299 is Given as Tablet with Food|Maximum Plasma Concentration (Cmax) of both PTC299 and O-desmethyl PTC299 when PTC299 is Given as Tablet with Food|Area Under the Concentration-Time Curve (AUC) of both PTC299 and O-desmethyl PTC299 when PTC299 is Given as Tablet with Food|Half-life (t1/2) of both PTC299 and O-desmethyl PTC299 when PTC299 is Given as Tablet with Food|Estimate t1/2 of of both PTC299 and O-desmethyl PTC299 During 14-Day Washout Period|Apparent Clearance (CL/F) of both PTC299 and O-desmethyl PTC299 when PTC299 is Given as Tablet with Food|Apparent Volume of Distribution (Vz/F) of both PTC299 and O-desmethyl PTC299 when PTC299 is Given as Tablet with Food|Accumulation Ratio (R) of both PTC299 and O-desmethyl PTC299 when PTC299 is Given as Tablet with Food|Percentage of Participants Achieving Response Rate/Overall Response Rate Utilizing International Working Group (IWG) Response Criteria for AML","PTC Therapeutics","All","18 Years and older   (Adult, Older Adult)","Phase 1","39","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PTC299-HEM-001-LEU","October 29, 2018","April 30, 2022","May 31, 2022","December 3, 2018",,"December 9, 2021","Rocky Mountain Cancer Center, Aurora, Colorado, United States|Yale University, New Haven, Connecticut, United States|Henry Ford Health System, Detroit, Michigan, United States|Rutgers, Cancer Institute of NJ, New Brunswick, New Jersey, United States|Columbia, New York, New York, United States|University of Rochester MC, Rochester, New York, United States|Duke Cancer Center, Durham, North Carolina, United States|Gabrail Cancer Center, Canton, Ohio, United States|Oncology Hematology Care, Inc., Cincinnati, Ohio, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|Rhode Island, Miriam Hospital, Providence, Rhode Island, United States|SCRI Tennessee Oncology, Nashville, Tennessee, United States|Texas Oncology, P.A., Austin, Texas, United States|Texas Oncology, P.A., Fort Worth, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States|Texas Oncology, P.A. - San Antonio Medical Center, San Antonio, Texas, United States|Swedish Cancer Institute, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT03761069"
4,"NCT03761095","A Study of PTC596 (Unesbulin) in Combination With Dacarbazine in Participants With Advanced Leiomyosarcoma (LMS)",,"Recruiting","No Results Available","Leiomyosarcoma","Drug: PTC596|Drug: Dacarbazine","MTD and RP2D of PTC596 in Combination With Dacarbazine|Number of Participants With Adverse Events|Objective Response Rate (ORR) (Percentage of Participants With Objective Response) as Determined by the Investigator Using Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1)|Time to Response as Determined by the Investigator Using RECIST v1.1|Duration of Response (DOR)|Progression-Free Survival (PFS)|Best Overall Response Rate (Disease Control Rate) (Percentage of Participants With Best Overall Response)|Overall Survival (OS)|Maximum Observed Plasma Concentration (Cmax) of PTC596, Dacarbazine, and Inactive Metabolite of Dacarbazine (5-amino-imidazole-4-carboxamide [AIC])|Time to Reach Maximum Plasma Concentration (Tmax) of PTC596, Dacarbazine, and Inactive Metabolite of Dacarbazine (AIC)|Area Under the Plasma Concentration-Time Curve (AUC) of PTC596, Dacarbazine, and Inactive Metabolite of Dacarbazine (AIC)|Half-Life (t1/2) of PTC596, Dacarbazine, and Inactive Metabolite of Dacarbazine (AIC)|Apparent Clearance (CL/F) of PTC596, Dacarbazine, and Inactive Metabolite of Dacarbazine (AIC)|Apparent Volume of Distribution (Vz/F) of PTC596, Dacarbazine, and Inactive Metabolite of Dacarbazine (AIC)|Accumulation Ratio (R) of PTC596, Dacarbazine, and Inactive Metabolite of Dacarbazine (AIC)","PTC Therapeutics","All","18 Years and older   (Adult, Older Adult)","Phase 1","27","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PTC596-ONC-007-LMS","March 13, 2019","December 29, 2021","December 29, 2021","December 3, 2018",,"November 8, 2021","Mayo Clinic Florida, Jacksonville, Florida, United States|John Hopkins, Baltimore, Maryland, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Washington University Medical Campus, Saint Louis, Missouri, United States|Columbia University Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT03761095"
5,"NCT03206645","PTC-596 in Women With Ovarian Cancer Receiving Neoadjuvant Chemotherapy",,"Recruiting","No Results Available","Ovarian Cancer","Drug: PTC596","Maximum tolerated dose and dose limiting toxicities|Number of patients able to tolerate drug combination|Phase 2 Dose|Evaluate clinical response|Evaluate pharmacokinetic Area Under the Curve (AUC)|Evaluate pharmacokinetic Maximum Concentration observed (Cmax)|Evaluate pharmacokinetic Time of Maximum Concentration observed (Tmax)|Evaluate pharmacokinetic half life (t1/2)|Progression free survival","University of Oklahoma|PTC Therapeutics","Female","18 Years to 99 Years   (Adult, Older Adult)","Phase 1","27","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PTC-001","August 28, 2017","December 1, 2021","February 1, 2024","July 2, 2017",,"December 17, 2020","University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States",,"https://ClinicalTrials.gov/show/NCT03206645"
6,"NCT03091751","Efficacy and Safety of AlphaNine Versus BeneFIX in Patients With Severe Hereditary Haemophilia B",,"Completed","Has Results","Hemophilia B","Drug: BeneFIX","Mean Difference of Area Under the Curve (AUC): BeneFIX Compared to AlphaNine|Mean Difference of In Vivo Recovery: BeneFIX Compared to AlphaNine|Mean Difference of Terminal Half-Life: BeneFIX Compared to AlphaNine|Mean Difference of Clearance: BeneFIX Compared to AlphaNine|Mean Difference of Mean Residence Time (MRT): BeneFIX Compared to AlphaNine","Grifols Biologicals, LLC","All","12 Years and older   (Child, Adult, Older Adult)","Phase 2","13","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IG-404-1","August 2005","October 2009","October 2009","March 27, 2017","July 25, 2017","July 25, 2017","Medical University Pleven, Pleven, Bulgaria|National Center of Haematology, Sofia, Bulgaria|Medical University, University Hospital ""Sveta Marina"",, Varna, Bulgaria",,"https://ClinicalTrials.gov/show/NCT03091751"
7,"NCT04819984","Impact of Continuous Monitoring of PtC02 on Ventilatory Weaning in Neuro-injured Patients","CO2MBAWA","Not yet recruiting","No Results Available","Acute Brain Injury","Device: TCM5 device (Radiometer) for PtC02 continuous measurement","Predictive value (PPV and Se, Sp) of the PtCO2 variation for exhumation failure|Difference and variation between PtC02 and PaC02 (obtained on blood gases) measurements|Presence of a diaphragmatic dysfunction during ventilatory weaning test|presence of respiratory and non respiratory complications during a period from extubation to the hospital discharge","Centre Hospitalier St Anne","All","18 Years and older   (Adult, Older Adult)","Not Applicable","98","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","D20-P030","April 1, 2021","February 1, 2022","July 1, 2022","March 29, 2021",,"March 29, 2021",,,"https://ClinicalTrials.gov/show/NCT04819984"
8,"NCT00911248","PTC299 for Treatment of Neurofibromatosis Type 2",,"Terminated","No Results Available","Neurofibromatosis 2","Drug: PTC299","To assess the effects of PTC299 on tumor volume and/or word recognition in patients with NF2.|To assess the effects of PTC299 on pure tone thresholds, brainstem auditory evoked responses (BAERs), and otoacoustic emissions (OAEs) in patients with NF2|To determine if PTC299 alters the perception of tinnitus|To evaluate the effects of PTC299 on tumor blood flow|To assess the effects of PTC299 on concentrations of circulating angiogenic factors or cytokines|To describe the PTC299 safety profile|To evaluate compliance with PTC299 treatment|To assess PTC299 plasma exposure over time","PTC Therapeutics|United States Department of Defense","All","18 Years and older   (Adult, Older Adult)","Phase 2","11","Industry|U.S. Fed","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PTC299-ONC-007-NF2|NF080100","July 31, 2009","March 31, 2012","March 31, 2012","June 1, 2009",,"April 12, 2019","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT00911248"
9,"NCT03605550","A Phase 1b Study of PTC596 in Children With Newly Diagnosed Diffuse Intrinsic Pontine Glioma and High Grade Glioma",,"Recruiting","No Results Available","High Grade Glioma|Diffuse Intrinsic Pontine Glioma","Drug: PTC596|Radiation: Radiotherapy","Estimate maximum tolerated dose and/or recommended Phase 2 dose of PTC596 administered concurrently with radiation.|Estimate number of adverse events of PTC596 administered concurrently with radiation|Pharmacokinetics of PTC596|Time from diagnosis to death - Overall survival|Time from diagnosis to disease progression - Progression Free survival","Nationwide Children's Hospital|PTC Therapeutics","All","12 Months to 21 Years   (Child, Adult)","Phase 1","54","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CONNECT1702|#FD-R-6352","August 1, 2018","July 1, 2022","July 1, 2027","July 30, 2018",,"November 30, 2021","Children's Hospital Colorado, Aurora, Colorado, United States|Children's National Medical Center, Washington, District of Columbia, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Duke University Medical Center, Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Texas Children's Hospital, Houston, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT03605550"
10,"NCT02404480","PTC596 in Patients With Advanced Solid Tumors",,"Completed","No Results Available","Cancer","Drug: PTC596","Dose-limiting toxicities|Adverse effects|Time to Maximum Plasma Concentration (T max)|Antitumor activity|Maximum Plasma Concentration (C max)|Plasma Concentration at 24 hours|Area under the plasma concentration-time curve (AUC)|Terminal half-life (t1/2).","PTC Therapeutics","All","18 Years and older   (Adult, Older Adult)","Phase 1","31","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PTC596-ONC-001-AST","January 2016","February 6, 2017","February 6, 2017","March 31, 2015",,"December 8, 2017","Dana Farber Cancer Institute, Boston, Massachusetts, United States|Duke University, Durham, North Carolina, United States|Sarah Cannon Research Institute, Nashville, Tennessee, United States|Princess Margaret Cancer Centre, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02404480"
