"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04722068","Regeneron 1331 Kinetics Sub-Study HoFH",,"Completed","No Results Available","Hypercholesterolemia, Familial","Other: Kinetics test","Fractional catabolic rate (FCR) pools/day|Production rate (PR) of lipoproteins mg/kg/day","University of Pennsylvania|Regeneron Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Not Applicable","4","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","1331-Kin","October 7, 2016","November 30, 2016","January 1, 2021","January 25, 2021",,"May 17, 2021","University of Pennsylvania, Philadelphia, Pennsylvania, United States|Department of Vascular Medicine Amsterdam UMC, Amsterdam, AZ, Netherlands",,"https://ClinicalTrials.gov/show/NCT04722068"
2,"NCT05133531","Ravulizumab-Controlled Study to Evaluate the Efficacy and Safety of Pozelimab and Cemdisiran Combination Therapy in Adult Patients With Paroxysmal Nocturnal Hemoglobinuria Who Are Complement Inhibitor Treatment-Naive or Have Not Recently Received Complement Inhibitor Therapy","ACCESS-1","Recruiting","No Results Available","Paroxysmal Nocturnal Hemoglobinuria","Drug: Ravulizumab|Drug: Pozelimab|Drug: Cemdisiran","Proportion of patients with adequate control of hemolysis|Proportion of patients with transfusion avoidance|Proportion of patients with breakthrough hemolysis|Proportion of patients with hemoglobin stabilization|Proportion of patients with normalization of LDH|Percent change in LDH|Change in fatigue as measured by the FACIT-Fatigue Scale|Change in physical function (PF) scores on the European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-C30)|Change in global health status (GHS)/QoL scale score on the EORTC-QLC-C30|Rate of RBC transfusion per protocol algorithm from day 1 through week 24|Number of units of RBC transfusion per protocol algorithm from day 1 through week 24|Time to first LDH ≤1.5 × ULN|Time to first LDH ≤1.0 × ULN|Percentage of days with LDH ≤1.5 × ULN|Change in hemoglobin levels|Incidence and severity of treatment emergent serious adverse events (SAEs)|Incidence and severity of treatment-emergent adverse events (TEAEs) of special interest|Incidence and severity of TEAE leading to treatment discontinuation|Change in total CH50|Percent change in total CH50|Concentration of total C5 in plasma|Concentrations of total pozelimab in serum|Concentrations of total cemdisiran in plasma|Concentrations of total ravulizumab in serum|Incidence of treatment emergent anti-drug antibodies (ADAs) to pozelimab|Incidence of treatment emergent ADAs to cemdisiran","Regeneron Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 3","124","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R3918-PNH-2021|2020-004486-40","July 31, 2022","May 18, 2026","July 16, 2027","November 24, 2021",,"December 27, 2021","Regeneron Study Site, Whittier, California, United States",,"https://ClinicalTrials.gov/show/NCT05133531"
3,"NCT05102136","Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of REGN9933 in Adult Healthy Volunteers",,"Recruiting","No Results Available","Healthy Volunteers","Drug: REGN9933|Drug: Placebo","Incidence and severity of treatment emergent adverse events (TEAE)|Change from baseline in activated partial thromboplastin time (aPTT)|Change from baseline in prothrombin time (PT)|Concentration of REGN9933 in serum|Change from baseline in total Factor XI (FXI) concentrations|The incidence of antidrug antibodies (ADAs) to REGN9933 over time","Regeneron Pharmaceuticals","All","18 Years to 55 Years   (Adult)","Phase 1","72","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R9933-HV-2107|2021-002568-34","October 27, 2021","November 30, 2022","November 30, 2022","November 1, 2021",,"November 11, 2021","Regeneron Study Site, Edegem, Antwerp, Belgium",,"https://ClinicalTrials.gov/show/NCT05102136"
4,"NCT04888507","Pozelimab and Cemdisiran Combination Therapy in Adult Participants With Paroxysmal Nocturnal Hemoglobinuria Who Switch From Eculizumab Therapy",,"Recruiting","No Results Available","Paroxysmal Nocturnal Hemoglobinuria","Drug: Pozelimab|Drug: Cemdisiran","Incidence and severity of treatment emergent adverse events (TEAEs)|Percent change in LDH from pre-treatment to end-of-treatment period|Percent change in LDH from pre-treatment|Proportion of participants who are transfusion-free|Rate of RBCs transfused|Number of units of RBCs transfused|Proportion of participants with breakthrough hemolysis|Proportion of participants with adequate control of their LDH|Proportion of participants with normalization of their LDH|Area under the curve (AUC) of LDH over time|AUC of LDH over time|Proportion of participants with hemoglobin stabilization|Change in hemoglobin levels|Change in fatigue as measured by Functional Assessment of Chronic Illness Therapy-Fatigue (FACIT-Fatigue) scale|Change in health related quality of life (HRQoL) as measured by the global health status subscale of the European Organization for Research and Treatment of Cancer (EORTC)- Quality of Life Cancer Patients Questionnaire (QLQ) - 30 Scale|Change in physical function (PF) scores on the EORTC QLQ-C30|Change in total CH50|Concentrations of total pozelimab and eculizumab in serum|Concentrations of total cemdisiran in plasma|Change from baseline in concentration of total C5|Incidence of pozelimab anti-drug antibody (ADA) responses over time|Incidence of cemdisiran anti-drug antibody (ADA) responses over time|Incidence and severity of TEAEs for participants who receive dose intensification|Incidence and severity of TEAEs in participants treated with pozelimab and cemdisiran combination therapy|Change of LDH|Percent change of LDH|Proportion of participants with normalization of LDH|Change in fatigue as measured by FACIT-Fatigue scale|Change in GHS/QoL on the EORTC QLQ-C30|Change in PF scores on the EORTC QLQ-C30|Change in CH50|Concentrations of total C5|Concentrations of cemdisiran in plasma","Regeneron Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 2","12","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R3918-PNH-20105|2020-005006-25","July 8, 2021","September 29, 2022","October 11, 2024","May 17, 2021",,"November 15, 2021","Regeneron Study Site, Leeds, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04888507"
5,"NCT05181683","COVID-19 Study Assessing the Safety and Tolerability of Co-Formulated Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies (Casirivimab+Imdevimab) in Adult Volunteers",,"Active, not recruiting","No Results Available","Healthy|Chronic Stable Illness","Drug: Casirivimab+Imdevimab","Targeted grade ≥3 treatment-emergent adverse events (TEAEs)|Grade ≥3 injection-site reactions (ISRs)|Grade ≥2 infusion-related reactions (IRRs)|Grade ≥2 hypersensitivity reactions|Serious adverse events (SAEs)|Concentrations of casirivimab and imdevimab in serum over time|Incidence and titer of anti-drug antibodies (ADA) to casirivimab and imdevimab|Incidence of neutralizing antibodies (NAb) to casirivimab and imdevimab","Regeneron Pharmaceuticals","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","45","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R10933-10987-COV-2179","January 7, 2022","May 11, 2022","May 11, 2022","January 6, 2022",,"March 7, 2022","Regeneron Study Site, Miami, Florida, United States|Regeneron StudySite, Winter Park, Florida, United States",,"https://ClinicalTrials.gov/show/NCT05181683"
6,"NCT05070858","A Study to Examine the Efficacy and Safety of Pozelimab and Cemdisiran Combination Therapy in Adult Patients With Symptomatic Generalized Myasthenia Gravis",,"Recruiting","No Results Available","Generalized Myasthenia Gravis","Drug: Pozelimab (REGN3918) + Cemdisiran|Drug: Cemdisiran|Other: Placebo","Change in Myasthenia Gravis-Activities of Daily Living (MG-ADL) total score|Change from baseline in Quantitative Myasthenia Gravis (QMG) score|Proportion of patients responding on the MG-ADL|Proportion of patients responding on the QMG|Proportion of patients with consistent response on the MG-ADL|Proportion of patients with minimal symptom expression (MSE)|Change from baseline in the Myasthenia Gravis Composite (MGC) total score|Change from baseline in Myasthenia Gravis Quality of Life (MG QOL15r) total score|Proportion of patients with improvement point thresholds on MG-ADL|Proportion of patients with improvement point thresholds on QMG|Incidence and severity of treatment-related adverse events (TEAEs) in patients treated with pozelimab + cemdisiran or placebo|Incidence and severity of serious adverse events (SAEs) in patients treated with pozelimab + cemdisiran or placebo|Incidence and severity of adverse events of special interest (AESIs) in patients treated with pozelimab + cemdisiran or placebo|Concentrations of total pozelimab in serum|Concentrations of cemdisiran and its metabolites in plasma|Incidence of treatment-emergent anti-drug antibodies (ADAs) to pozelimab over time|Incidence of treatment-emergent ADAs to cemdisiran over time|Change in CH50 over time|Percent change in CH50 over time","Regeneron Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 3","210","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R3918-MG-2018|2020-003272-41","December 14, 2021","August 14, 2024","May 1, 2027","October 7, 2021",,"March 2, 2022","Regeneron Research Site, Naples, Florida, United States",,"https://ClinicalTrials.gov/show/NCT05070858"
7,"NCT04940364","A Study to Examine the Safety, Tolerability and Biological Effects of Single Doses of Subcutaneously and Intravenously Administered Pozelimab as Monotherapy and in Combination With Single Doses of Subcutaneously Administered Cemdisiran in Adult Japanese Healthy Volunteers",,"Recruiting","No Results Available","Healthy","Drug: Pozelimab|Drug: Cemdisiran","Concentrations of pozelimab in serum over time|Concentrations of cemdisiran in plasma over time.|The incidence and severity of treatment-emergent adverse events (TEAE) in subjects administered pozelimab with/without cemdisiran|Concentrations of total C5 in plasma over time|Change from baseline in CH50 over time|Incidence of treatment-emergent anti-drug antibodies (ADA) to pozelimab|Incidence of treatment-emergent ADA to cemdisiran","Regeneron Pharmaceuticals","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","36","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R3918-HV-20117|2021-001794-23","August 4, 2021","July 20, 2022","July 20, 2022","June 25, 2021",,"February 3, 2022","Regeneron Research Site, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04940364"
8,"NCT05131204","Efficacy and Safety of the Combination of Pozelimab and Cemdisiran Versus Continued Eculizumab or Ravulizumab Treatment in Adult Patients With Paroxysmal Nocturnal Hemoglobinuria","ACCESS 2","Recruiting","No Results Available","Paroxysmal Nocturnal Hemoglobinuria","Drug: Cemdisiran|Drug: Eculizumab|Drug: Pozelimab|Drug: Ravulizumab","Percent change in lactate dehydrogenase (LDH)|Proportion of patients with transfusion avoidance|Proportion of patients with breakthrough hemolysis|Proportion of patients with hemoglobin stabilization|Proportion of patients with adequate control of LDH|Proportion of patients with normalization of LDH|Change in fatigue as measured by the Functional Assessment of Chronic Illness Therapy-Fatigue (FACIT-Fatigue) Scale|Change in Physical Function (PF) score on the European organization for research and treatment of cancer quality-of-Life questionnaire Core 30 Items (EORTC-QLQ-C30)|Change in global health status (GHS)/QoL scale score on the EORTC-QLQ-C30|Rate of RBCs transfused per protocol algorithm|Number of units of RBCs transfused per protocol algorithm|Change in hemoglobin levels|Incidence and severity of treatment emergent serious adverse events (SAEs)|Incidence and severity of treatment-emergent adverse events (TEAEs) of special interest|Incidence and severity TEAEs leading to treatment discontinuation|Change in total CH50|Percent change in total CH50|Concentration of total C5 in plasma|Concentrations of total pozelimab in serum|Concentrations of total cemdisiran in plasma|Concentrations of total eculizumab in serum|Concentrations of total ravulizumab in plasma|Incidence of treatment emergent anti-drug antibodies (ADAs) to pozelimab|Incidence of treatment emergent ADAs to cemdisiran","Regeneron Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 3","140","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R3918-PNH-2022|2020-002761-33","March 31, 2022","June 24, 2025","September 18, 2026","November 23, 2021",,"February 14, 2022","Regeneron Research Facility, Whittier, California, United States",,"https://ClinicalTrials.gov/show/NCT05131204"
9,"NCT04616105","Study of the Safety, Tolerability, and Pharmacokinetics of REGN6490 in Healthy Japanese Adult Volunteers",,"Terminated","No Results Available","Healthy Volunteer","Drug: REGN6490|Drug: Placebo","Incidence and severity of Treatment-Emergent Adverse Events (TEAEs)|Serum Concentration of REGN6490 over time|Incidence of Treatment-Emergent REGN6490 Anti-Drug Antibodies (ADAs)","Regeneron Pharmaceuticals","All","20 Years to 60 Years   (Adult)","Phase 1","19","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R6490-HV-1993","November 18, 2020","May 28, 2021","May 28, 2021","November 4, 2020",,"November 11, 2021","Regeneron Study Site, Glendale, California, United States",,"https://ClinicalTrials.gov/show/NCT04616105"
10,"NCT04616079","Ascending Dose Study of the Safety and Tolerability of REGN6490 in Healthy Volunteers",,"Terminated","No Results Available","Healthy Volunteer","Drug: REGN6490|Drug: Placebo","Incidence and severity of Treatment-Emergent Adverse Events (TEAEs)|Serum Concentration of REGN6490 over time|Incidence of Treatment-Emergent REGN6490 Anti-Drug Antibodies (ADAs)","Regeneron Pharmaceuticals","All","18 Years to 55 Years   (Adult)","Phase 1","57","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R6490-HV-1946|2020-003261-19","November 19, 2020","June 1, 2021","June 1, 2021","November 4, 2020",,"November 11, 2021","Regeneron Study Site, Ghent, Belgium",,"https://ClinicalTrials.gov/show/NCT04616079"
